"time","Tres","heatCapacitor_T","switch_Control"
0.001,293.3493,20.199314,0
0.04,293.54807,20.398066,0
0.06,293.74646,20.596447,0
0.08,293.94443,20.794413,0
0.1,294.14175,20.991768,0
0.12,294.33862,21.188637,0
0.14,294.535,21.385017,0
0.16,294.73087,21.580853,0
0.18,294.92615,21.77615,0
0.2,295.1209,21.970926,0
0.22,295.3152,22.16517,0
0.24,295.50888,22.358873,0
0.26,295.70206,22.552048,0
0.28,295.89468,22.744692,0
0.3,296.0868,22.936806,0
0.32,296.27838,23.128391,0
0.34,296.46945,23.319466,0
0.36,296.66003,23.510046,0
0.38,296.8501,23.700106,0
0.4,297.03964,23.889643,0
0.42,297.22867,24.07866,0
0.44,297.41714,24.267153,0
0.46,297.60513,24.455124,0
0.48,297.79257,24.642572,0
0.5,297.9795,24.8295,0
0.52,298.1659,25.015907,0
0.54,298.35178,25.201792,0
0.56,298.53714,25.387154,0
0.58,298.722,25.571993,0
0.6,298.9064,25.756414,0
0.62,299.09033,25.940332,0
0.64,299.1419,25.991913,1
0.66,299.12997,25.979984,1
0.68,299.11807,25.968073,1
0.7,299.10617,25.956177,1
0.72,299.0943,25.944296,1
0.74,299.08243,25.93243,1
0.76,299.0706,25.920582,1
0.78,299.05878,25.908773,1
0.8,299.047,25.896988,1
0.82,299.03522,25.885221,1
0.84,299.02347,25.873478,1
0.86,299.01175,25.861753,1
0.88,299.00006,25.85005,1
0.9,298.98837,25.83837,1
0.92,298.9767,25.826708,1
0.94,298.96506,25.815067,1
0.96,298.95346,25.803457,1
0.98,298.94186,25.79187,1
1,298.9303,25.780308,1
1.02,298.91876,25.768764,1
1.04,298.90726,25.757246,1
1.06,298.89575,25.745749,1
1.08,298.88428,25.734274,1
1.1,298.87283,25.72282,1
1.12,298.8614,25.71139,1
1.14,298.84998,25.699982,1
1.16,298.8386,25.688595,1
1.18,298.82724,25.67723,1
1.2,298.8159,25.66589,1
1.22,298.80457,25.65457,1
1.24,298.79327,25.643272,1
1.26,298.78198,25.631998,1
1.28,298.77075,25.62074,1
1.3,298.75952,25.609507,1
1.32,298.7483,25.598295,1
1.34,298.7371,25.587105,1
1.36,298.72592,25.575935,1
1.38,298.71478,25.564789,1
1.4,298.70367,25.553665,1
1.42,298.69257,25.542562,1
1.44,298.6815,25.531483,1
1.46,298.6704,25.520424,1
1.48,298.6594,25.509388,1
1.5,298.64838,25.498373,1
1.52,298.6374,25.487381,1
1.54,298.6264,25.47641,1
1.56,298.61545,25.465462,1
1.58,298.60452,25.454535,1
1.6,298.59363,25.44363,1
1.62,298.58273,25.432749,1
1.64,298.5719,25.421888,1
1.66,298.56104,25.411049,1
1.68,298.55023,25.400232,1
1.7,298.53943,25.389439,1
1.72,298.52866,25.378666,1
1.74,298.5179,25.367916,1
1.76,298.50717,25.357187,1
1.78,298.4965,25.34648,1
1.8,298.4858,25.335796,1
1.82,298.47513,25.325132,1
1.84,298.46448,25.314493,1
1.86,298.45386,25.303862,1
1.88,298.4432,25.29322,1
1.9,298.4326,25.282598,1
1.92,298.422,25.271997,1
1.94,298.4114,25.26142,1
1.96,298.40085,25.25086,1
1.98,298.39032,25.24032,1
2,298.3798,25.229803,1
2.02,298.36935,25.219368,1
