"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
8.47,0.99931809888041334,21.257006291335923,16.780868134514584,86.035206514088074,86.023647151476453,9.9010278719092049e-007,-1.3404071709040476e-007
8.48,0.99933244152373846,21.257076903645412,16.780896189454626,86.03487285528017,86.023554569265627,9.7173958897726657e-007,-1.3158169988332086e-007
8.49,0.99934649149304089,21.257146167185557,16.780923787951057,86.034546154395827,86.02346392644418,9.5375597455741019e-007,-1.2917284325565191e-007
8.5,0.99936025482709456,21.257214109731276,16.780950939537,86.034226263682271,86.02337518144374,9.3614397573225743e-007,-1.2681310546608175e-007
8.51,0.99937373743701063,21.257280758472298,16.780977653541363,86.033913038617285,86.023288293614229,9.1889581601691913e-007,-1.2450147324069792e-007
8.52,0.999386945114352,21.257346140050114,16.781003939101595,86.033606337700419,86.023203223163691,9.0200386256046046e-007,-1.2223694990262961e-007
8.53,0.999399883523025,21.257410280520485,16.781029805151348,86.033306022646144,86.023119931218091,8.8546066225268492e-007,-1.2001856961870035e-007
8.54,0.99941255821698094,21.257473205436384,16.781055260449591,86.033011957977408,86.023038379696516,8.6925890266532159e-007,-1.1784537128310424e-007
8.55,0.99942497462869928,21.257534939791832,16.781080313559972,86.0327240112411,86.022958531382528,8.5339144514825273e-007,-1.1571643650713135e-007
8.56,0.99943713807596135,21.257595508055353,16.781104972863382,86.032442052886296,86.022880349882328,8.3785129478664044e-007,-1.1363083738515104e-007
8.57,0.99944905376778648,21.257654934196555,16.781129246567186,86.032165956101693,86.022803799580146,8.2263160042461638e-007,-1.1158769347904171e-007
8.58,0.99946072680359088,21.257713241682229,16.781153142703833,86.031895596833522,86.022728845642817,8.0772566972225764e-007,-1.0958611958395831e-007
8.59,0.99947216217656509,21.257770453491755,16.781176669136475,86.031630853698374,86.022655453995782,7.9312694211414709e-007,-1.0762526846681323e-007
8.6,0.99948336477504818,21.257826592123426,16.781199833560883,86.031371607946582,86.022583591310664,7.7882900085811417e-007,-1.0570429525218298e-007
8.61,0.99949433938799026,21.257881679619324,16.781222643513903,86.031117743322412,86.022513224964769,7.6482556403483323e-007,-1.0382238354058715e-007
8.62,0.99950509070137161,21.257935737549051,16.781245106369447,86.030869146154259,86.022444323073103,7.5111048456595302e-007,-1.0197872641444233e-007
8.63,0.99951562330322397,21.257988787032669,16.781267229344969,86.030625705224097,86.022376854443777,7.3767775023327607e-007,-1.0017253831043625e-007
8.64,0.99952594185002952,21.258040849504898,16.781289019761488,86.030387307709248,86.022310787439451,7.2452126121094059e-007,-9.8403024155286754e-008
8.65,0.99953605077064722,21.258091945354913,16.781310484582825,86.030153846406776,86.02224609201285,7.116352028842862e-007,-9.6669417352574004e-008
8.66,0.99954595406953628,21.258142093023579,16.781331630103068,86.029925224497518,86.022182741014063,6.9901432248454972e-007,-9.4971034391832665e-008
8.67,0.99955565603396568,21.258191312250641,16.781352463059019,86.029701338336665,86.022120705401449,6.8665304819212895e-007,-9.3307146641291837e-008
8.68,0.99956516100098036,21.258239623002602,16.781372990264078,86.029482083105918,86.022059955825014,6.7454566048234714e-007,-9.1676999340252808e-008
8.69,0.99957447267099586,21.258287042324856,16.78139321752964,86.029267369548236,86.022000467263027,6.6268733547652574e-007,-9.0079963552134147e-008
8.7,0.99958359505433936,21.25833358868422,16.781413151152577,86.029057100899976,86.021942212623102,6.5107284006590567e-007,-8.851535334850434e-008
8.71,0.99959253210532417,21.258379280290463,16.78143279734017,86.028851181815213,86.021885165216034,6.396969979434974e-007,-8.6982489913412581e-008
8.72,0.99960128769860623,21.258424134988246,16.781452162172886,86.028649518943269,86.021829298913403,6.2855474374097018e-007,-8.5480711041095081e-008
8.73,0.9996098655638469,21.258468169955751,16.781471251501561,86.028452022492957,86.0217745885856,6.1764121324479562e-007,-8.4009375884474217e-008
8.74,0.99961826929265063,21.258511401737191,16.78149007096026,86.028258606074061,86.021721010060574,6.0695170732570758e-007,-8.2567867330211079e-008
8.75,0.99962650248264551,21.258553846903485,16.781508626189513,86.028069183171752,86.021668539139824,5.9648154462577841e-007,-8.1155570630875424e-008
8.76,0.99963456862119138,21.258595521518703,16.781526922655662,86.02788366998098,86.02161715238806,5.8622616078218889e-007,-7.9771887650556609e-008
8.77,0.99964247113348192,21.258636441367084,16.781544965728092,86.027701984370339,86.021566826815302,5.7618109642259545e-007,-7.8416232116899652e-008
8.78,0.99965021336624205,21.258676621866439,16.781562760656399,86.027524046025832,86.021517540001284,5.6634198213083844e-007,-7.7088031995658101e-008
8.79,0.99965779859932158,21.258716078124827,16.781580312565875,86.027349776232839,86.021469269905921,5.5670456552717694e-007,-7.5786719993481677e-008
8.8,0.99966523020951525,21.258754825701086,16.781597626748074,86.027179094102252,86.021421993940535,5.4726444064821071e-007,-7.4511728810790252e-008
8.81,0.99967251131168922,21.258792878947048,16.781614708081772,86.027011925042444,86.021375691278706,5.3801752304287205e-007,-7.3262507759864599e-008
8.82,0.99967964466642478,21.258830250588613,16.781631560887064,86.026848203065342,86.02133034346312,5.289602452566939e-007,-7.2038596371093132e-008
8.83,0.99968663344016551,21.258866955215456,16.781648190118876,86.02668785242281,86.021285929345567,5.2008848334664034e-007,-7.0839451067892587e-008
8.84,0.99969348069286879,21.258903006928335,16.781664600566213,86.026530799978346,86.021242428516942,5.1139826953512795e-007,-6.9664547261965618e-008
8.85,0.99970018938924665,21.258938419388727,16.781680796863821,86.02637697490124,86.021199821201193,5.0288571402667512e-007,-6.8513369856061195e-008
8.86,0.99970676200141617,21.25897320399617,16.781696782874047,86.026226318276954,86.021158090915833,4.9454763049894558e-007,-6.7385503469129571e-008
8.87,0.99971320157917876,21.259007374803485,16.781712563366661,86.026078757305768,86.021117217373089,4.8638006867169885e-007,-6.6280428244966653e-008
8.88,0.99971951091694744,21.259040944689112,16.781728142708815,86.025934225357958,86.021077181990108,4.7837936074424384e-007,-6.5197657562032948e-008
8.89,0.99972569235196584,21.259073924432613,16.781743524551942,86.025792666853704,86.021037969233845,4.7054249731457362e-007,-6.4136792644188687e-008
8.9,0.99973174867225045,21.259106326883124,16.781758713249811,86.025654015381335,86.020999560587953,4.6286586139446916e-007,-6.309736110683903e-008
8.91,0.99973768241638949,21.259138163742151,16.781773712768942,86.025518210527125,86.020961939221678,4.5534614857861838e-007,-6.2078921426466889e-008
8.92,0.99974349605332713,21.259169446392555,16.781788526962625,86.025385193604052,86.020925088762326,4.479801625772435e-007,-6.1081058193429478e-008
8.93,0.99974919209153468,21.259200186398736,16.781803159745923,86.025254905005028,86.020888992594664,4.4076465283242022e-007,-6.010333699871436e-008
8.94,0.99975477292589432,21.259230394802533,16.78181761485537,86.025127287869381,86.020853634867706,4.3369650697877691e-007,-5.9145347172742813e-008
8.95,0.99976024090411464,21.259260082428685,16.781831895953008,86.025002286492509,86.020819000056449,4.2677269071078841e-007,-5.8206692288415798e-008
8.96,0.9997655983271686,21.259289259885772,16.781846006628676,86.024879846286026,86.020785072963179,4.1999022673438611e-007,-5.7286973540045367e-008
