"time","Folder number","Task number","FMU_Interface_OUT0_Battery Charge","FMU_Interface_OUT1_Current","FMU_Interface_OUT2_Net Voltage","FMU_Interface_OUT3_Power"
0,0,1,0,0,0,0
0.01,0,1,91.1999555,-115.3446186,19.57676818,-2.258075882
0.02,0,1,91.1996796,-115.3441979,19.5767837,-2.258074859
0.03,0,1,91.1993592,-115.3436725,19.57680356,-2.258068413
0.04,0,1,91.1990388,-115.3431467,19.57682344,-2.258060419
0.05,0,1,91.1987184,-115.3426208,19.57684333,-2.258052417
0.06,0,1,91.198398,-115.3420949,19.57686322,-2.258044416
0.07,0,1,91.19807761,-115.341569,19.5768831,-2.258036415
0.08,0,1,91.19775722,-115.3410431,19.57690299,-2.258028413
0.09,0,1,91.19743683,-115.3405173,19.57692287,-2.258020412
0.1,0,1,91.19711643,-115.3399914,19.57694276,-2.25801241
0.11,0,1,91.19679605,-115.3394655,19.57696265,-2.258004409
0.12,0,1,91.19647566,-115.3389396,19.57698253,-2.257996408
0.13,0,1,91.19615527,-115.3384138,19.57700242,-2.257988406
0.14,0,1,91.19583489,-115.3378879,19.5770223,-2.257980405
0.15,0,1,91.19551451,-115.337362,19.57704219,-2.257972403
0.16,0,1,91.19519412,-115.3368361,19.57706208,-2.257964402
0.17,0,1,91.19487374,-115.3363103,19.57708196,-2.257956401
0.18,0,1,91.19455336,-115.3357844,19.57710185,-2.257948399
0.19,0,1,91.19423299,-115.3352585,19.57712173,-2.257940398
0.2,0,1,91.19391261,-115.3347327,19.57714162,-2.257932396
0.21,0,1,91.19359224,-115.3342068,19.5771615,-2.257924395
0.22,0,1,91.19327186,-115.3336809,19.57718139,-2.257916394
0.23,0,1,91.19295149,-115.3331551,19.57720128,-2.257908392
0.24,0,1,91.19263112,-115.3326292,19.57722116,-2.257900391
0.25,0,1,91.19231076,-115.3321034,19.57724105,-2.257892389
0.26,0,1,91.19199039,-115.3315775,19.57726093,-2.257884388
0.27,0,1,91.19167002,-115.3310516,19.57728082,-2.257876386
0.28,0,1,91.19134966,-115.3305258,19.5773007,-2.257868385
0.29,0,1,91.1910293,-115.3299999,19.57732059,-2.257860384
0.3,0,1,91.19070894,-115.3294741,19.57734048,-2.257852382
0.31,0,1,91.19038858,-115.3289482,19.57736036,-2.257844381
0.32,0,1,91.19006822,-115.3284224,19.57738025,-2.257836379
0.33,0,1,91.18974786,-115.3278965,19.57740013,-2.257828378
0.34,0,1,91.18942751,-115.3273707,19.57742002,-2.257820376
0.35,0,1,91.18910715,-115.3268448,19.5774399,-2.257812375
0.36,0,1,91.1887868,-115.326319,19.57745979,-2.257804373
0.37,0,1,91.18846645,-115.3257931,19.57747967,-2.257796372
0.38,0,1,91.1881461,-115.3252673,19.57749956,-2.25778837
0.39,0,1,91.18782575,-115.3247414,19.57751944,-2.257780369
0.4,0,1,91.1875054,-115.3242156,19.57753933,-2.257772367
0.41,0,1,91.18718506,-115.3236897,19.57755921,-2.257764366
0.42,0,1,91.18686472,-115.3231639,19.5775791,-2.257756365
0.43,0,1,91.18654437,-115.322638,19.57759899,-2.257748363
0.44,0,1,91.18622403,-115.3221122,19.57761887,-2.257740362
0.45,0,1,91.18590369,-115.3215864,19.57763876,-2.25773236
0.46,0,1,91.18558336,-115.3210605,19.57765864,-2.257724359
0.47,0,1,91.18526302,-115.3205347,19.57767853,-2.257716357
0.48,0,1,91.18494268,-115.3200089,19.57769841,-2.257708356
0.49,0,1,91.18462235,-115.319483,19.5777183,-2.257700354
0.5,0,1,91.18430202,-115.3189572,19.57773818,-2.257692353
0.51,0,1,91.18398169,-115.3184314,19.57775807,-2.257684351
0.52,0,1,91.18366136,-115.3179055,19.57777795,-2.25767635
0.53,0,1,91.18334103,-115.3173797,19.57779784,-2.257668348
0.54,0,1,91.18302071,-115.3168539,19.57781772,-2.257660347
0.55,0,1,91.18270038,-115.316328,19.57783761,-2.257652345
0.56,0,1,91.18238006,-115.3158022,19.57785749,-2.257644344
0.57,0,1,91.18205974,-115.3152764,19.57787738,-2.257636342
0.58,0,1,91.18173942,-115.3147506,19.57789726,-2.257628341
0.59,0,1,91.1814191,-115.3142247,19.57791715,-2.257620339
0.6,0,1,91.18109878,-115.3136989,19.57793703,-2.257612338
0.61,0,1,91.18077847,-115.3131731,19.57795691,-2.257604336
0.62,0,1,91.18045815,-115.3126473,19.5779768,-2.257596334
0.63,0,1,91.18013784,-115.3121215,19.57799668,-2.257588333
0.64,0,1,91.17981753,-115.3115956,19.57801657,-2.257580331
0.65,0,1,91.17949722,-115.3110698,19.57803645,-2.25757233
0.66,0,1,91.17917691,-115.310544,19.57805634,-2.257564328
0.67,0,1,91.1788566,-115.3100182,19.57807622,-2.257556327
0.68,0,1,91.1785363,-115.3094924,19.57809611,-2.257548325
0.69,0,1,91.17821599,-115.3089666,19.57811599,-2.257540324
0.7,0,1,91.17789569,-115.3084407,19.57813588,-2.257532322
0.71,0,1,91.17757539,-115.3079149,19.57815576,-2.257524321
0.72,0,1,91.17725509,-115.3073891,19.57817565,-2.257516319
0.73,0,1,91.17693479,-115.3068633,19.57819553,-2.257508318
0.74,0,1,91.17661449,-115.3063375,19.57821541,-2.257500316
0.75,0,1,91.1762942,-115.3058117,19.5782353,-2.257492314
0.76,0,1,91.1759739,-115.3052859,19.57825518,-2.257484313
0.77,0,1,91.17565361,-115.3047601,19.57827507,-2.257476311
0.78,0,1,91.17533332,-115.3042343,19.57829495,-2.25746831
0.79,0,1,91.17501303,-115.3037085,19.57831484,-2.257460308
0.8,0,1,91.17469274,-115.3031827,19.57833472,-2.257452307
0.81,0,1,91.17437246,-115.3026569,19.5783546,-2.257444305
0.82,0,1,91.17405217,-115.3021311,19.57837449,-2.257436303
0.83,0,1,91.17373189,-115.3016053,19.57839437,-2.257428302
0.84,0,1,91.1734116,-115.3010795,19.57841426,-2.2574203
0.85,0,1,91.17309132,-115.3005537,19.57843414,-2.257412299
0.86,0,1,91.17277104,-115.3000279,19.57845403,-2.257404297
0.87,0,1,91.17245077,-115.2995021,19.57847391,-2.257396296
0.88,0,1,91.17213049,-115.2989763,19.57849379,-2.257388294
0.89,0,1,91.17181021,-115.2984505,19.57851368,-2.257380292
