Time,Out1,Out2,Out3_1,Out3_2,Out4,Out5,Out6,
0,2.68203e-310,2.89937e-310,4.43075e-315,9.1089e-307,5.43682e-312,2.68208e-310,2.87917e-310,
0.01,4.99996e-005,9.99992e-005,1.66666e-007,4.99996e-005,0.01005,4.9833e-005,4.96663e-005,
0.02,0.000199993,0.000399987,1.33331e-006,0.000199993,0.0202,0.000198666,0.000197338,
0.03,0.000449966,0.000899933,4.4998e-006,0.000449966,0.03045,0.000445499,0.000441031,
0.04,0.000799893,0.00159979,1.06658e-005,0.000799893,0.0408,0.000789332,0.00077877,
0.05,0.00124974,0.00249948,2.08307e-005,0.00124974,0.05125,0.00122916,0.00120859,
0.06,0.00179946,0.00359892,3.59935e-005,0.00179946,0.0618,0.001764,0.00172854,
0.07,0.002449,0.004898,5.71527e-005,0.002449,0.07245,0.00239283,0.00233666,
0.08,0.00319829,0.00639659,8.5306e-005,0.00319829,0.0832,0.00311466,0.00303103,
0.09,0.00404727,0.00809453,0.000121451,0.00404727,0.09405,0.0039285,0.00380973,
0.1,0.00499584,0.00999167,0.000166583,0.00499584,0.105,0.00483333,0.00467083,
0.11,0.0060439,0.0120878,0.000221699,0.0060439,0.11605,0.00582817,0.00561243,
0.12,0.00719136,0.0143827,0.000287793,0.00719136,0.1272,0.006912,0.00663264,
0.13,0.00843811,0.0168762,0.000365857,0.00843811,0.13845,0.00808384,0.00772956,
0.14,0.009784,0.019568,0.000456885,0.009784,0.1498,0.00934267,0.00890134,
0.15,0.0112289,0.0224578,0.000561868,0.0112289,0.161251,0.0106875,0.0101461,
0.16,0.0127727,0.0255454,0.000681793,0.0127727,0.172801,0.0121174,0.011462,
0.17,0.0144152,0.0288305,0.000817651,0.0144152,0.184451,0.0136312,0.0128472,
0.18,0.0161563,0.0323126,0.000970427,0.0161563,0.196202,0.015228,0.0142998,
0.19,0.0179958,0.0359915,0.00114111,0.0179958,0.208052,0.0169069,0.015818,
0.2,0.0199334,0.0398668,0.00133067,0.0199334,0.220003,0.0186667,0.0174001,
0.21,0.0219691,0.0439382,0.0015401,0.0219691,0.232054,0.0205066,0.0190441,
0.22,0.0241026,0.0482051,0.00177038,0.0241026,0.244204,0.0224255,0.0207484,
0.23,0.0263336,0.0526672,0.00202248,0.0263336,0.256456,0.0244224,0.0225111,
0.24,0.028662,0.0573241,0.00229737,0.028662,0.268807,0.0264962,0.0243305,
