    "time",     "uDC",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "uAC[1]",  "uAC[2]",  "uAC[3]",  "Losses"
    0.0112, 516.53681,-0.36063512, 857.25497,-856.89433, -441.4427, 522.24992,-80.807219, 5631.5644
    0.0114,  521.2523,-0.41711824, 848.07855,-847.66143,-472.03282, 526.94699,-54.914168, 5597.5771
    0.0116,  525.6296,-0.47197125, 806.14105,-805.66908,-501.60604, 531.24035,-29.634314, 5326.7752
    0.0118, 529.21603,-0.52495344, 729.17791,-728.65296,-529.81338, 534.67279,-4.8594128, 4818.3688
     0.012,  531.5644,-19.374535, 625.04973, -605.6752,-536.20776, 536.79406,-0.58630008, 4108.9689
    0.0122, 532.44936,-90.592279, 510.11731,-419.52503,-537.04899, 537.37792,-0.32893242, 3338.5934
    0.0124, 531.73023,-214.08151, 383.99736,-169.91585,-536.32724, 536.28307,0.04416562,  2609.543
    0.0126, 529.45977, -317.3142, 317.53799,-0.22379064,-534.09355, 378.94221, 155.15134, 2199.1978
    0.0128, 527.22912,-353.11413, 353.27758,-0.1634538,-531.93445, 347.69421, 184.24024, 2372.6683
     0.013, 525.56479,-401.90594, 402.00841,-0.10247156,-530.36764, 316.41965, 213.94799, 2628.8621
    0.0132, 524.61177,-458.91509, 458.95618,-0.041084886,-529.52858, 285.30675, 244.22183, 2947.9679
    0.0134, 524.44117,-519.14677, 519.12631,0.020463883,-529.47838, 254.50724, 274.97114, 3305.4499
    0.0136, 525.07196,-577.56281, 577.48088,0.08193192,-530.22595, 224.14697, 306.07897, 3671.8526
    0.0138, 526.43407,-629.18765, 629.04457, 0.1430766,-531.69124, 194.30725, 337.38399, 4013.2055
     0.014, 528.42622,-669.15273, 668.94908,0.20365663,-533.76326, 165.05321, 368.71005, 4292.3924
    0.0142, 530.85941,-692.94982, 692.68639,0.26343128,-536.24398, 136.40622, 399.83776,   4472.61
    0.0144, 533.46272,-696.57699, 696.25482,0.32216957,-538.85447, 108.34229, 430.51218, 4521.1334
    0.0146, 535.96205, -676.4476, 676.06797,0.37963412,-541.31348, 80.839493, 460.47399, 4412.0167
    0.0148, 538.01185,-629.67203, 629.23643,0.43560165,-543.26967, 53.833792, 489.43588, 4130.9042
     0.015, 539.24617,-554.00197, 553.51212,0.48984948, -544.3526, 27.251316, 517.10128, 3677.4157
    0.0152, 539.27148,-447.89925, 447.35709,0.54216404,-544.16565, 1.0005321, 543.16512, 3067.4126
    0.0154, 537.73466,-324.40348, 296.27821, 28.125275,-542.35425,0.26815266,  542.0861, 2362.1218
    0.0156, 534.53272,-198.00934, 85.401601, 112.60774,-538.81505,-0.027206111, 538.84226, 1711.5994
    0.0158, 530.02348,-160.57796,0.26353964, 160.31442, -398.9416, -135.4017,  534.3433, 1432.4277
     0.016,  525.6474,-189.03637,0.20376497, 188.83261,-366.89469,-163.12951, 530.02421,  1540.754
    0.0162, 521.77937,-236.61632,0.14318622, 236.47313,-334.71888,-191.53252, 526.25141, 1751.0557
    0.0164, 518.64755,-298.52476,0.082042338, 298.44272,-302.64294,-220.60052, 523.24347, 2050.0452
    0.0166, 516.39791,-369.62672,0.020574675, 369.60615, -270.8554, -250.2807,  521.1361, 2420.6388
    0.0168, 515.12388,-444.65945,-0.040974192, 444.70042,-239.51899,-280.49322,  520.0122, 2840.4772
     0.017, 514.85438,-518.28643,-0.10236135,  518.3888,-208.76428,-311.12573, 519.89001, 3280.6789
    0.0172,  515.5363,-585.17017,-0.16334454, 585.33352,-178.68053,-342.02523, 520.70576,  3705.888
    0.0174, 517.04025,-640.14247,-0.22368308, 640.36615, -149.3182,-373.00151, 522.31971, 4076.2737
    0.0176, 519.17107,-678.37024,-0.28313884, 678.65338,-120.69396,-403.83309, 524.52705, 4350.8039
    0.0178, 521.67499,-695.47961,-0.34147719, 695.82109,-92.793856,-434.27139, 527.06524, 4491.2052
     0.018, 524.24487,-687.65283,-0.39846788,  688.0513,-65.575622, -464.0439, 529.61952, 4466.2493
    0.0182,  526.5268,-651.71582, -0.453886, 652.16971,-38.971586,-492.85804, 531.82962, 4256.0118
    0.0184, 528.12845,-585.21518,-0.5075128,  585.7227,-12.892507,-520.40581, 533.29832,  3855.614
    0.0186,  528.6382,-482.65534, -8.226196, 490.88153,-0.47442867,-533.13624, 533.61067, 3279.0563
    0.0188, 527.81394,-322.09812,-65.611632, 387.70975,-0.25648623, -532.2662, 532.52268, 2648.1353
     0.019, 525.57334,-100.30181,-177.99425, 278.29606,0.077692361,-530.02858, 529.95088, 2064.2076
    0.0192, 522.19958,-0.24371875,-252.63698,  252.8807, 141.49253,-526.70405, 385.21152,  1852.326
    0.0194, 519.16546,-0.18364968,-297.28023, 297.46388, 170.05465,-523.75916, 353.70451, 2059.1176
    0.0196, 516.83082,-0.12285583, -357.3961, 357.51895, 199.34437,-521.54469, 322.20032, 2362.7775
    0.0198, 515.37313,-0.061577125,-427.88092,  427.9425, 229.32537,-520.22792, 290.90255, 2745.8404
      0.02, 514.89501,-5.5405099e-005,-503.46726, 503.46732, 259.92275,-519.90091, 259.97816, 3185.6745
