"time","prdata","stx","dtrn","rtsn","out1n","out2n","txrdyn","rxrdyn","irq","b_clk"
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.001,0,1,1,1,1,1,1,1,0,0
0.001,0,1,1,1,1,1,1,1,0,0
0.002,0,1,1,1,1,1,1,1,0,0
0.002,0,1,1,1,1,1,1,1,0,0
0.003,0,1,1,1,1,1,1,1,0,0
0.003,0,1,1,1,1,1,1,1,0,0
0.004,0,1,1,1,1,1,1,0,0,0
0.004,0,1,1,1,1,1,1,0,0,0
0.005,0,1,1,1,1,1,1,0,0,0
0.005,0,1,1,1,1,1,1,0,0,0
0.006,0,0,1,1,1,1,1,0,0,0
0.006,0,0,1,1,1,1,1,0,0,0
0.007,0,0,1,1,1,1,1,0,0,0
0.007,0,0,1,1,1,1,1,0,0,0
0.008,0,0,1,1,1,1,1,0,0,0
0.008,0,0,1,1,1,1,1,0,0,0
0.009,0,0,1,1,1,1,1,0,0,0
0.009,0,0,1,1,1,1,1,0,0,0
0.01,0,0,1,1,1,1,1,0,0,0
0.01,0,0,1,1,1,1,1,0,0,0
0.011,0,0,1,1,1,1,1,0,0,0
0.011,0,0,1,1,1,1,1,0,0,0
0.012,193,0,1,1,1,1,1,0,0,0
0.012,193,0,1,1,1,1,1,0,0,0
0.013,193,0,1,1,1,1,1,0,0,0
0.013,193,0,1,1,1,1,1,0,0,0
0.014,193,0,1,1,1,1,1,0,0,0
0.014,193,0,1,1,1,1,1,0,0,0
0.015,1,0,1,1,1,1,1,0,0,0
0.015,1,0,1,1,1,1,1,0,0,0
0.016,1,0,1,1,1,1,1,0,0,0
0.016,1,0,1,1,1,1,1,0,0,0
0.017,1,0,1,1,1,1,1,0,0,0
0.017,1,0,1,1,1,1,1,0,0,0
0.018,1,0,1,1,1,1,1,0,0,0
0.018,1,0,1,1,1,1,1,0,0,0
0.019,1,0,1,1,1,1,1,0,0,0
0.019,1,0,1,1,1,1,1,0,0,0
0.02,1,0,1,1,1,1,1,0,0,0
0.02,1,0,1,1,1,1,1,0,0,0
0.021,1,0,1,1,1,1,1,0,0,0
0.021,1,0,1,1,1,1,1,0,0,0
0.022,1,0,1,1,1,1,1,0,0,0
0.022,1,0,1,1,1,1,1,0,0,0
0.023,1,0,1,1,1,1,1,0,0,0
0.023,1,0,1,1,1,1,1,0,0,0
0.024,1,0,1,1,1,1,1,0,0,0
0.024,1,0,1,1,1,1,1,0,0,0
0.025,1,0,1,1,1,1,1,0,0,0
0.025,1,0,1,1,1,1,1,0,0,0
0.026,1,0,1,1,1,1,1,0,0,0
0.026,1,0,1,1,1,1,1,0,0,0
0.027,1,0,1,1,1,1,1,0,0,0
0.027,1,0,1,1,1,1,1,0,0,0
0.028,1,0,1,1,1,1,1,0,0,0
0.028,1,0,1,1,1,1,1,0,0,0
0.029,1,0,1,1,1,1,1,0,0,0
0.029,1,0,1,1,1,1,1,0,0,0
0.03,1,0,1,1,1,1,1,0,0,0
0.03,1,0,1,1,1,1,1,0,0,0
0.031,0,0,1,1,1,1,1,0,0,0
0.031,0,0,1,1,1,1,1,0,0,0
0.032,0,0,1,1,1,1,1,0,0,0
0.032,0,0,1,1,1,1,1,0,0,0
0.033,0,0,1,1,1,1,1,0,0,0
0.033,0,0,1,1,1,1,1,0,0,0
0.034,0,0,1,1,1,1,1,0,0,0
0.034,0,0,1,1,1,1,1,0,0,0
0.035,0,0,1,1,1,1,1,0,0,0
0.035,0,0,1,1,1,1,1,0,0,0
0.036,0,0,1,1,1,1,1,0,0,0
0.036,0,0,1,1,1,1,1,0,0,0
0.037,0,0,1,1,1,1,1,0,0,0
0.037,0,0,1,1,1,1,1,0,0,0
0.038,0,0,1,1,1,1,1,0,0,0
0.038,0,0,1,1,1,1,1,0,0,0
0.039,0,0,1,1,1,1,1,0,0,0
0.039,0,0,1,1,1,1,1,0,0,0
0.04,0,0,1,1,1,1,1,0,0,0
0.04,0,0,1,1,1,1,1,0,0,0
0.041,0,0,1,1,1,1,1,0,0,0
0.041,0,0,1,1,1,1,1,0,0,0
0.042,0,0,1,1,1,1,1,0,0,0
0.042,0,0,1,1,1,1,1,0,0,0
0.043,0,0,1,1,1,1,1,0,0,0
0.043,0,0,1,1,1,1,1,0,0,0
0.044,0,0,1,1,1,1,1,0,0,0
0.044,0,0,1,1,1,1,1,0,0,0
0.045,0,0,1,1,1,1,1,0,0,0
0.045,0,0,1,1,1,1,1,0,0,0
0.046,0,0,1,1,1,1,1,0,0,0
0.046,0,0,1,1,1,1,1,0,0,0
0.047,0,0,1,1,1,1,1,0,0,0
0.047,0,0,1,1,1,1,1,0,0,0
0.048,0,0,1,1,1,1,1,0,0,0
0.048,0,0,1,1,1,1,1,0,0,0
0.049,0,0,1,1,1,1,1,0,0,0
0.049,0,0,1,1,1,1,1,0,0,0
0.05,0,0,1,1,1,1,1,0,0,0
0.05,0,0,1,1,1,1,1,0,0,0
0.051,0,0,1,1,1,1,1,0,0,0
0.051,0,0,1,1,1,1,1,0,0,0
0.052,0,0,1,1,1,1,1,0,0,0
0.052,0,0,1,1,1,1,1,0,0,0
0.053,0,0,1,1,1,1,1,0,0,0
0.053,0,0,1,1,1,1,1,0,0,0
0.054,0,0,1,1,1,1,1,0,0,0
0.054,0,0,1,1,1,1,1,0,0,0
0.055,0,0,1,1,1,1,1,0,0,0
0.055,0,0,1,1,1,1,1,0,0,0
0.056,0,0,1,1,1,1,1,0,0,0
0.056,0,0,1,1,1,1,1,0,0,0
0.057,0,0,1,1,1,1,1,0,0,0
0.057,0,0,1,1,1,1,1,0,0,0
0.058,0,0,1,1,1,1,1,0,0,0
0.058,0,0,1,1,1,1,1,0,0,0
0.059,0,0,1,1,1,1,1,0,0,0
0.059,0,0,1,1,1,1,1,0,0,0
0.06,0,0,1,1,1,1,1,0,0,0
0.06,0,0,1,1,1,1,1,0,0,0
0.061,0,0,1,1,1,1,1,0,0,0
0.061,0,0,1,1,1,1,1,0,0,0
0.062,0,0,1,1,1,1,1,0,0,0
0.062,0,0,1,1,1,1,1,0,0,0
0.063,0,0,1,1,1,1,1,0,0,0
0.063,0,0,1,1,1,1,1,0,0,0
0.064,0,0,1,1,1,1,1,0,0,0
0.064,0,0,1,1,1,1,1,0,0,0
0.065,0,0,1,1,1,1,1,0,0,0
0.065,0,0,1,1,1,1,1,0,0,0
0.066,70,0,1,1,1,1,1,0,0,0
0.066,70,0,1,1,1,1,1,0,0,0
0.067,70,0,1,1,1,1,1,0,0,0
0.067,70,0,1,1,1,1,1,0,0,0
0.068,70,0,1,1,1,1,1,0,0,0
0.068,70,0,1,1,1,1,1,0,0,0
0.069,70,0,1,1,1,1,1,0,0,0
0.069,70,0,1,1,1,1,1,0,0,0
0.07,70,0,1,1,1,1,1,0,0,0
0.07,70,0,1,1,1,1,1,0,0,0
0.071,70,0,1,1,1,1,1,0,0,0
0.071,70,0,1,1,1,1,1,0,0,0
0.072,70,0,1,1,1,1,1,0,0,0
0.072,70,0,1,1,1,1,1,0,0,0
0.073,70,0,1,1,1,1,1,0,0,0
0.073,70,0,1,1,1,1,1,0,0,0
0.074,70,0,1,1,1,1,1,0,0,0
0.074,70,0,1,1,1,1,1,0,0,0
0.075,70,0,1,1,1,1,1,0,0,0
0.075,70,0,1,1,1,1,1,0,0,0
0.076,70,0,1,1,1,1,1,0,0,0
0.076,70,0,1,1,1,1,1,0,0,0
0.077,70,0,1,1,1,1,1,0,0,0
0.077,70,0,1,1,1,1,1,0,0,0
0.078,70,0,1,1,1,1,1,0,0,0
0.078,70,0,1,1,1,1,1,0,0,0
0.079,70,0,1,1,1,1,1,0,0,0
0.079,70,0,1,1,1,1,1,0,0,0
0.08,70,0,1,1,1,1,1,0,0,0
0.08,70,0,1,1,1,1,1,0,0,0
0.081,70,0,1,1,1,1,1,0,0,0
0.081,70,0,1,1,1,1,1,0,0,0
0.082,70,0,1,1,1,1,1,0,0,0
0.082,70,0,1,1,1,1,1,0,0,0
0.083,70,0,1,1,1,1,1,0,0,0
0.083,70,0,1,1,1,1,1,0,0,0
0.084,70,0,1,1,1,1,1,0,0,0
0.084,70,0,1,1,1,1,1,0,0,0
0.085,70,0,1,1,1,1,1,0,0,0
0.085,70,0,1,1,1,1,1,0,0,0
0.086,70,0,1,1,1,1,1,0,0,0
0.086,70,0,1,1,1,1,1,0,0,0
0.087,70,0,1,1,1,1,1,0,0,0
0.087,70,0,1,1,1,1,1,0,0,0
0.088,70,0,1,1,1,1,1,0,0,0
0.088,70,0,1,1,1,1,1,0,0,0
0.089,70,0,1,1,1,1,1,0,0,0
0.089,70,0,1,1,1,1,1,0,0,0
0.09,70,0,1,1,1,1,1,0,0,0
0.09,70,0,1,1,1,1,1,0,0,0
0.091,0,0,1,1,1,1,1,0,0,0
0.091,0,0,1,1,1,1,1,0,0,0
0.092,0,0,1,1,1,1,1,0,0,0
0.092,0,0,1,1,1,1,1,0,0,0
0.093,0,0,1,1,1,1,1,0,0,0
0.093,0,0,1,1,1,1,1,0,0,0
0.094,0,0,1,1,1,1,1,0,0,0
0.094,0,0,1,1,1,1,1,0,0,0
0.095,0,0,1,1,1,1,1,0,0,0
0.095,0,0,1,1,1,1,1,0,0,0
0.096,0,0,1,1,1,1,1,0,0,0
0.096,0,0,1,1,1,1,1,0,0,0
0.097,0,0,1,1,1,1,1,0,0,0
0.097,0,0,1,1,1,1,1,0,0,0
0.098,0,0,1,1,1,1,1,0,0,0
0.098,0,0,1,1,1,1,1,0,0,0
0.099,0,0,1,1,1,1,1,0,0,0
0.099,0,0,1,1,1,1,1,0,0,0
0.1,0,0,1,1,1,1,1,0,1,0
0.1,0,0,1,1,1,1,1,0,1,0
0.101,0,0,1,1,1,1,1,0,1,0
0.101,0,0,1,1,1,1,1,0,1,0
0.102,0,0,1,1,1,1,1,0,1,0
0.102,0,0,1,1,1,1,1,0,1,0
0.103,1,0,1,1,1,1,1,0,1,0
0.103,1,0,1,1,1,1,1,0,1,0
0.104,1,0,1,1,1,1,1,0,1,0
0.104,1,0,1,1,1,1,1,0,1,0
0.105,1,0,1,1,1,1,1,0,1,0
0.105,1,0,1,1,1,1,1,0,1,0
0.106,1,0,1,1,1,1,1,0,1,0
0.106,1,0,1,1,1,1,1,0,1,0
0.107,1,0,1,1,1,1,1,0,1,0
0.107,1,0,1,1,1,1,1,0,1,0
0.108,15,0,1,1,1,1,1,0,1,0
0.108,15,0,1,1,1,1,1,0,1,0
0.109,15,0,1,1,1,1,1,0,1,0
0.109,15,0,1,1,1,1,1,0,1,0
0.11,15,0,1,1,1,1,1,0,1,0
0.11,15,0,1,1,1,1,1,0,1,0
0.111,15,0,1,1,1,1,1,0,1,0
0.111,15,0,1,1,1,1,1,0,1,0
0.112,15,0,1,1,1,1,1,0,1,0
0.112,15,0,1,1,1,1,1,0,1,0
0.113,15,0,1,1,1,1,1,0,1,0
0.113,15,0,1,1,1,1,1,0,1,0
0.114,15,0,1,1,1,1,1,0,1,0
0.114,15,0,1,1,1,1,1,0,1,0
0.115,15,0,1,1,1,1,1,0,1,0
0.115,15,0,1,1,1,1,1,0,1,0
0.116,15,0,1,1,1,1,1,0,1,0
0.116,15,0,1,1,1,1,1,0,1,0
0.117,15,0,1,1,1,1,1,0,1,0
0.117,15,0,1,1,1,1,1,0,1,0
0.118,15,0,1,1,1,1,1,0,1,0
0.118,15,0,1,1,1,1,1,0,1,0
0.119,0,0,1,1,1,1,1,0,1,0
0.119,0,0,1,1,1,1,1,0,1,0
0.12,0,0,1,1,1,1,1,0,1,0
0.12,0,0,1,1,1,1,1,0,1,0
0.121,0,0,1,1,1,1,1,0,1,0
0.121,0,0,1,1,1,1,1,0,1,0
0.122,0,0,1,1,1,1,1,0,1,0
0.122,0,0,1,1,1,1,1,0,1,0
0.123,0,0,1,1,1,1,1,0,1,0
0.123,0,0,1,1,1,1,1,0,1,0
0.124,0,0,1,1,1,1,1,0,1,0
0.124,0,0,1,1,1,1,1,0,1,0
0.125,0,0,1,1,1,1,1,0,1,0
0.125,0,0,1,1,1,1,1,0,1,0
0.126,0,0,1,1,1,1,1,0,1,0
0.126,0,0,1,1,1,1,1,0,1,0
0.127,141,0,1,1,1,1,1,0,1,0
0.127,141,0,1,1,1,1,1,0,1,0
0.128,141,0,1,1,1,1,1,0,1,0
0.128,141,0,1,1,1,1,1,0,1,0
0.129,196,0,1,1,1,1,1,0,1,0
0.129,196,0,1,1,1,1,1,0,1,0
0.13,196,0,1,1,1,1,1,0,1,0
0.13,196,0,1,1,1,1,1,0,1,0
0.131,63,0,1,1,1,1,1,0,1,0
0.131,63,0,1,1,1,1,1,0,1,0
0.132,63,0,1,1,1,1,1,0,1,0
0.132,63,0,1,1,1,1,1,0,1,0
0.133,63,0,1,1,1,1,1,0,1,0
0.133,63,0,1,1,1,1,1,0,1,0
0.134,63,0,1,1,1,1,1,0,1,0
0.134,63,0,1,1,1,1,1,0,1,0
0.135,63,0,1,1,1,1,1,0,1,0
0.135,63,0,1,1,1,1,1,0,1,0
0.136,63,0,1,1,1,1,1,0,1,0
0.136,63,0,1,1,1,1,1,0,1,0
0.137,139,0,1,1,1,1,1,0,1,0
0.137,139,0,1,1,1,1,1,0,1,0
0.138,139,0,1,1,1,1,1,0,1,0
0.138,139,0,1,1,1,1,1,0,1,0
0.139,139,0,1,1,1,1,1,0,1,0
0.139,139,0,1,1,1,1,1,0,1,0
0.14,139,0,1,1,1,1,1,0,1,0
0.14,139,0,1,1,1,1,1,0,1,0
0.141,139,0,1,1,1,1,1,0,1,0
0.141,139,0,1,1,1,1,1,0,1,0
0.142,139,0,1,1,1,1,1,0,1,0
0.142,139,0,1,1,1,1,1,0,1,0
0.143,139,0,1,1,1,1,1,0,1,0
0.143,139,0,1,1,1,1,1,0,1,0
0.144,139,0,1,1,1,1,1,0,1,0
0.144,139,0,1,1,1,1,1,0,1,0
0.145,139,0,1,1,1,1,1,0,1,0
