"time","J1_0w","J2_0w","J3_0w","J4_0w"
0,10,0,0,0
0.0015,10,0,0,0
0.0015,9.98536,0.015,-3.30812e-015,-3.30814e-015
0.003,9.98536,0.015,-3.30812e-015,-3.30814e-015
0.003,9.97141,0.0299999,-1.83187e-015,-1.83191e-015
0.0045,9.97141,0.0299999,-1.83187e-015,-1.83191e-015
0.0045,9.95818,0.0449998,-9.36751e-016,-9.36846e-016
0.006,9.95818,0.0449998,-9.36751e-016,-9.36846e-016
0.006,9.94564,0.0599995,-1.67921e-015,-1.67946e-015
0.0075,9.94564,0.0599995,-1.67921e-015,-1.67946e-015
0.0075,9.93379,0.0749991,-2.15106e-015,-2.15142e-015
0.009,9.93379,0.0749991,-2.15106e-015,-2.15142e-015
0.009,9.92263,0.0899983,-2.28983e-015,-2.29029e-015
0.0105,9.92263,0.0899983,-2.28983e-015,-2.29029e-015
0.0105,9.91215,0.104997,-5.96745e-016,-5.97338e-016
0.012,9.91215,0.104997,-5.96745e-016,-5.97338e-016
0.012,9.90234,0.119996,-1.80411e-015,-1.80488e-015
0.0135,9.90234,0.119996,-1.80411e-015,-1.80488e-015
0.0135,9.89318,0.134994,-7.49401e-016,-7.50314e-016
0.015,9.89318,0.134994,-7.49401e-016,-7.50314e-016
0.015,9.88467,0.149992,-1.13798e-015,-1.13899e-015
0.0165,9.88467,0.149992,-1.13798e-015,-1.13899e-015
0.0165,9.87679,0.164989,4.16334e-016,4.15251e-016
0.018,9.87679,0.164989,4.16334e-016,4.15251e-016
0.018,9.86952,0.179986,7.49401e-016,7.48269e-016
0.0195,9.86952,0.179986,7.49401e-016,7.48269e-016
0.0195,9.86285,0.194982,3.60822e-016,3.5966e-016
0.021,9.86285,0.194982,3.60822e-016,3.5966e-016
0.021,9.85676,0.209977,3.33067e-016,3.31839e-016
0.0225,9.85676,0.209977,3.33067e-016,3.31839e-016
0.0225,9.85124,0.224972,1.7486e-015,1.74727e-015
0.024,9.85124,0.224972,1.7486e-015,1.74727e-015
0.024,9.84625,0.239966,3.05311e-015,3.05165e-015
0.0255,9.84625,0.239966,3.05311e-015,3.05165e-015
0.0255,9.84178,0.254959,9.99201e-016,9.97574e-016
0.027,9.84178,0.254959,9.99201e-016,9.97574e-016
0.027,9.83781,0.269951,1.94289e-015,1.9411e-015
0.0285,9.83781,0.269951,1.94289e-015,1.9411e-015
0.0285,9.8343,0.284943,8.32667e-016,8.30721e-016
0.03,9.8343,0.284943,8.32667e-016,8.30721e-016
0.03,9.83123,0.299933,5.55112e-016,5.53039e-016
0.0315,9.83123,0.299933,5.55112e-016,5.53039e-016
0.0315,9.82858,0.314922,1.66533e-015,1.66313e-015
0.033,9.82858,0.314922,1.66533e-015,1.66313e-015
0.033,9.82632,0.32991,-1.11022e-015,-1.11257e-015
0.0345,9.82632,0.32991,-1.11022e-015,-1.11257e-015
0.0345,9.82441,0.344898,-1.11022e-015,-1.11268e-015
0.036,9.82441,0.344898,-1.11022e-015,-1.11268e-015
0.036,9.82284,0.359883,-1.4988e-015,-1.50134e-015
0.0375,9.82284,0.359883,-1.4988e-015,-1.50134e-015
0.0375,9.82157,0.374868,-4.44089e-016,-4.46665e-016
0.039,9.82157,0.374868,-4.44089e-016,-4.46665e-016
0.039,9.82057,0.389851,-1.9984e-015,-2.00099e-015
0.0405,9.82057,0.389851,-1.9984e-015,-2.00099e-015
0.0405,9.81981,0.404833,-1.9984e-015,-2.00099e-015
0.042,9.81981,0.404833,-1.9984e-015,-2.00099e-015
0.042,9.81926,0.419813,-2.55351e-015,-2.55609e-015
0.0435,9.81926,0.419813,-2.55351e-015,-2.55609e-015
0.0435,9.8189,0.434792,-1.55431e-015,-1.55688e-015
0.045,9.8189,0.434792,-1.55431e-015,-1.55688e-015
0.045,9.81867,0.44977,-2.77556e-015,-2.77811e-015
0.0465,9.81867,0.44977,-2.77556e-015,-2.77811e-015
0.0465,9.81856,0.464746,-2.498e-015,-2.50054e-015
0.048,9.81856,0.464746,-2.498e-015,-2.50054e-015
0.048,9.81853,0.47972,-2.55351e-015,-2.55607e-015
0.0495,9.81853,0.47972,-2.55351e-015,-2.55607e-015
0.0495,9.81854,0.494693,-3.55271e-015,-3.55528e-015
0.051,9.81854,0.494693,-3.55271e-015,-3.55528e-015
0.051,9.81857,0.509664,-2.9976e-015,-3.00017e-015
0.0525,9.81857,0.509664,-2.9976e-015,-3.00017e-015
0.0525,9.81858,0.524633,-2.77556e-015,-2.77813e-015
0.054,9.81858,0.524633,-2.77556e-015,-2.77813e-015
0.054,9.81853,0.5396,-4.44089e-015,-4.44345e-015
0.0555,9.81853,0.5396,-4.44089e-015,-4.44345e-015
0.0555,9.8184,0.554565,-4.44089e-015,-4.44343e-015
0.057,9.8184,0.554565,-4.44089e-015,-4.44343e-015
0.057,9.81815,0.569529,-4.77396e-015,-4.77646e-015
0.0585,9.81815,0.569529,-4.77396e-015,-4.77646e-015
0.0585,9.81775,0.58449,-3.88578e-015,-3.88823e-015
0.06,9.81775,0.58449,-3.88578e-015,-3.88823e-015
0.06,9.81716,0.599449,-3.55271e-015,-3.55509e-015
0.0615,9.81716,0.599449,-3.55271e-015,-3.55509e-015
0.0615,9.81636,0.614406,-3.88578e-015,-3.8881e-015
0.063,9.81636,0.614406,-3.88578e-015,-3.8881e-015
0.063,9.81531,0.629362,-3.21965e-015,-3.22192e-015
0.0645,9.81531,0.629362,-3.21965e-015,-3.22192e-015
0.0645,9.81398,0.644314,-5.55112e-016,-5.57349e-016
0.066,9.81398,0.644314,-5.55112e-016,-5.57349e-016
0.066,9.81234,0.659265,-4.44089e-016,-4.46247e-016
0.0675,9.81234,0.659265,-4.44089e-016,-4.46247e-016
0.0675,9.81037,0.674213,-1.11022e-016,-1.13069e-016
0.069,9.81037,0.674213,-1.11022e-016,-1.13069e-016
0.069,9.80802,0.689159,-4.44089e-016,-4.4598e-016
0.0705,9.80802,0.689159,-4.44089e-016,-4.4598e-016
0.0705,9.80528,0.704103,-1.11022e-015,-1.1119e-015
0.072,9.80528,0.704103,-1.11022e-015,-1.1119e-015
0.072,9.80212,0.719043,-1.11022e-016,-1.12423e-016
0.0735,9.80212,0.719043,-1.11022e-016,-1.12423e-016
0.0735,9.79852,0.733982,2.22045e-016,2.21007e-016
0.075,9.79852,0.733982,2.22045e-016,2.21007e-016
0.075,9.79443,0.748918,1.11022e-016,1.10452e-016
0.0765,9.79443,0.748918,1.11022e-016,1.10452e-016
0.0765,9.78986,0.763851,-4.44089e-016,-4.44273e-016
0.078,9.78986,0.763851,-4.44089e-016,-4.44273e-016
0.078,9.78476,0.778782,3.33067e-016,3.33214e-016
0.0795,9.78476,0.778782,3.33067e-016,3.33214e-016
0.0795,9.77912,0.793709,1.22125e-015,1.22161e-015
0.081,9.77912,0.793709,1.22125e-015,1.22161e-015
0.081,9.77291,0.808634,-1.66533e-015,-1.66481e-015
0.0825,9.77291,0.808634,-1.66533e-015,-1.66481e-015
0.0825,9.76613,0.823556,-7.77156e-016,-7.76394e-016
0.084,9.76613,0.823556,-7.77156e-016,-7.76394e-016
0.084,9.75874,0.838476,-5.55112e-016,-5.54084e-016
0.0855,9.75874,0.838476,-5.55112e-016,-5.54084e-016
0.0855,9.75074,0.853392,1.11022e-016,1.12379e-016
0.087,9.75074,0.853392,1.11022e-016,1.12379e-016
0.087,9.74211,0.868305,0,1.67376e-018
0.0885,9.74211,0.868305,0,1.67376e-018
0.0885,9.73283,0.883215,-3.33067e-016,-3.31044e-016
0.09,9.73283,0.883215,-3.33067e-016,-3.31044e-016
0.09,9.7229,0.898122,9.99201e-016,1.00162e-015
0.0915,9.7229,0.898122,9.99201e-016,1.00162e-015
0.0915,9.71229,0.913026,-1.11022e-015,-1.10738e-015
0.093,9.71229,0.913026,-1.11022e-015,-1.10738e-015
0.093,9.70101,0.927927,0,3.22935e-018
0.0945,9.70101,0.927927,0,3.22935e-018
0.0945,9.68904,0.942825,-1.88738e-015,-1.88379e-015
0.096,9.68904,0.942825,-1.88738e-015,-1.88379e-015
0.096,9.67637,0.957719,-1.66533e-015,-1.66144e-015
0.0975,9.67637,0.957719,-1.66533e-015,-1.66144e-015
0.0975,9.66301,0.972609,-2.44249e-015,-2.43831e-015
0.099,9.66301,0.972609,-2.44249e-015,-2.43831e-015
0.099,9.64895,0.987497,-1.77636e-015,-1.77194e-015
0.1005,9.64895,0.987497,-1.77636e-015,-1.77194e-015
0.1005,9.63418,1.00238,-1.33227e-015,-1.32768e-015
0.102,9.63418,1.00238,-1.33227e-015,-1.32768e-015
0.102,9.61872,1.01726,-1.33227e-015,-1.32754e-015
0.1035,9.61872,1.01726,-1.33227e-015,-1.32754e-015
0.1035,9.60255,1.03214,-1.11022e-015,-1.10523e-015
0.105,9.60255,1.03214,-1.11022e-015,-1.10523e-015
0.105,9.58568,1.04701,-2.44249e-015,-2.43711e-015
0.1065,9.58568,1.04701,-2.44249e-015,-2.43711e-015
0.1065,9.56811,1.06188,-1.11022e-015,-1.10427e-015
0.108,9.56811,1.06188,-1.11022e-015,-1.10427e-015
0.108,9.54986,1.07675,-3.33067e-015,-3.32416e-015
0.1095,9.54986,1.07675,-3.33067e-015,-3.32416e-015
0.1095,9.53093,1.09161,-1.55431e-015,-1.54721e-015
0.111,9.53093,1.09161,-1.55431e-015,-1.54721e-015
0.111,9.51132,1.10646,-1.77636e-015,-1.76864e-015
0.1125,9.51132,1.10646,-1.77636e-015,-1.76864e-015
0.1125,9.49106,1.12132,2.22045e-016,2.30368e-016
0.114,9.49106,1.12132,2.22045e-016,2.30368e-016
0.114,9.47014,1.13617,2.22045e-016,2.30953e-016
0.1155,9.47014,1.13617,2.22045e-016,2.30953e-016
0.1155,9.44859,1.15102,1.11022e-015,1.11965e-015
0.117,9.44859,1.15102,1.11022e-015,1.11965e-015
0.117,9.42642,1.16586,-2.22045e-016,-2.12223e-016
0.1185,9.42642,1.16586,-2.22045e-016,-2.12223e-016
0.1185,9.40364,1.18069,-1.33227e-015,-1.32206e-015
0.12,9.40364,1.18069,-1.33227e-015,-1.32206e-015
0.12,9.38028,1.19553,-2.22045e-016,-2.11489e-016
