"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0,1,0,0,0,0
0.0001,1,538.875,0,269.443,-269.443
0.0002,1,538.61,9.77276,264.424,-274.197
0.0003,1,537.812,19.5359,259.143,-278.679
0.0004,1,536.484,29.2797,253.607,-282.887
0.0005,1,534.626,38.9946,247.821,-286.816
0.0006,1,532.241,48.6711,241.79,-290.462
0.0007,1,529.33,58.2995,235.521,-293.821
0.0008,1,525.898,67.8704,229.019,-296.89
0.0009,1,521.946,77.3743,222.291,-299.666
0.001,1,517.479,86.8019,215.343,-302.146
0.0011,1,512.501,96.1437,208.183,-304.328
0.0012,1,507.017,105.391,200.818,-306.21
0.0013,1,501.034,114.534,193.254,-307.789
0.0014,1,494.555,123.564,185.5,-309.065
0.0015,1,487.589,132.472,177.563,-310.036
0.0016,1,480.141,141.249,169.45,-310.701
0.0017,1,466.683,155.56,155.565,-311.127
0.0018,1,469.477,158.377,152.732,-311.11
0.0019,1,477.555,166.711,144.142,-310.854
0.002,1,485.161,174.88,135.41,-310.292
0.0021,1,492.289,182.876,126.545,-309.423
0.0022,1,498.931,190.692,117.555,-308.249
0.0023,1,505.08,198.32,108.448,-306.77
0.0024,1,510.731,205.752,99.2349,-304.989
0.0025,1,515.878,212.981,89.9236,-302.907
0.0026,1,520.516,220,80.5236,-300.526
0.0027,1,524.64,226.802,71.0441,-297.848
0.0028,1,528.246,233.38,61.4944,-294.877
0.0029,1,531.331,239.728,51.8841,-291.614
0.003,1,533.892,245.839,42.2226,-288.064
0.0031,1,535.926,251.707,32.5194,-284.229
0.0032,1,537.431,257.327,22.7842,-280.114
0.0033,1,538.405,262.694,13.0264,-275.722
0.0034,1,538.848,267.8,3.25578,-271.059
0.0035,1,538.76,272.643,-6.51805,-266.127
0.0036,1,538.139,277.217,-16.2854,-260.933
0.0037,1,536.988,281.516,-26.0368,-255.482
0.0038,1,535.306,285.539,-35.7624,-249.779
0.0039,1,533.097,289.279,-45.4527,-243.829
0.004,1,530.361,292.734,-55.0982,-237.638
0.0041,1,527.102,295.9,-64.6893,-231.213
0.0042,1,523.323,298.774,-74.2166,-224.559
0.0043,1,519.027,301.353,-83.6706,-217.685
0.0044,1,514.219,303.634,-93.0421,-210.595
0.0045,1,508.903,305.616,-102.322,-203.297
0.0046,1,503.086,307.297,-111.5,-195.799
0.0047,1,496.771,308.674,-120.569,-188.107
0.0048,1,489.967,309.746,-129.519,-180.23
0.0049,1,482.679,310.513,-138.34,-172.175
0.005,1,474.915,310.973,-147.026,-163.951
0.0051,1,466.685,311.127,-155.566,-155.564
0.0052,1,474.916,310.973,-163.952,-147.024
0.0053,1,482.681,310.513,-172.177,-138.338
0.0054,1,489.969,309.746,-180.232,-129.516
0.0055,1,496.773,308.673,-188.109,-120.567
0.0056,1,503.087,307.296,-195.801,-111.498
0.0057,1,508.905,305.616,-203.299,-102.32
0.0058,1,514.22,303.634,-210.596,-93.0399
0.0059,1,519.028,301.352,-217.686,-83.6684
0.006,1,523.324,298.773,-224.561,-74.2144
0.0061,1,527.103,295.899,-231.214,-64.6871
0.0062,1,530.362,292.733,-237.639,-55.096
0.0063,1,533.097,289.278,-243.83,-45.4505
0.0064,1,535.307,285.538,-249.78,-35.7601
0.0065,1,536.988,281.515,-255.483,-26.0345
0.0066,1,538.139,277.215,-260.935,-16.2832
0.0067,1,538.76,272.642,-266.128,-6.51577
0.0068,1,538.848,267.799,-271.06,3.25806
0.0069,1,538.405,262.692,-275.723,13.0287
0.007,1,537.43,257.326,-280.115,22.7864
0.0071,1,535.925,251.706,-284.23,32.5217
0.0072,1,533.891,245.838,-288.065,42.2249
0.0073,1,531.331,239.726,-291.615,51.8864
0.0074,1,528.245,233.379,-294.877,61.4967
0.0075,1,524.639,226.801,-297.849,71.0463
0.0076,1,520.515,219.999,-300.526,80.5258
0.0077,1,515.877,212.98,-302.907,89.9258
0.0078,1,510.73,205.751,-304.989,99.2371
0.0079,1,505.079,198.318,-306.771,108.45
0.008,1,498.929,190.69,-308.249,117.557
0.0081,1,492.287,182.874,-309.423,126.547
0.0082,1,485.16,174.878,-310.292,135.412
0.0083,1,477.553,166.709,-310.854,144.144
0.0084,1,466.683,155.565,-311.127,155.56
0.0085,1,472.222,149.885,-311.059,161.173
0.0086,1,480.143,141.247,-310.7,169.452
0.0087,1,487.591,132.47,-310.036,177.565
0.0088,1,494.557,123.562,-309.065,185.502
0.0089,1,501.035,114.532,-307.789,193.256
0.009,1,507.019,105.389,-306.209,200.82
0.0091,1,512.502,96.1416,-304.327,208.185
0.0092,1,517.48,86.7997,-302.145,215.345
0.0093,1,521.947,77.3721,-299.665,222.292
0.0094,1,525.898,67.8682,-296.889,229.02
0.0095,1,529.331,58.2973,-293.82,235.522
0.0096,1,532.242,48.6688,-290.461,241.791
0.0097,1,534.627,38.9924,-286.815,247.822
0.0098,1,536.484,29.2774,-282.886,253.609
0.0099,1,537.812,19.5336,-278.678,259.145
0.01,1,538.61,9.77047,-274.195,264.425
0.0101,1,538.875,-0.00228567,-269.442,269.444
0.0102,1,538.609,-9.77504,-264.423,274.198
0.0103,1,537.812,-19.5382,-259.142,278.68
0.0104,1,536.484,-29.282,-253.606,282.888
0.0105,1,534.626,-38.9969,-247.82,286.817
0.0106,1,532.24,-48.6734,-241.789,290.462
0.0107,1,529.33,-58.3018,-235.519,293.821
0.0108,1,525.897,-67.8726,-229.017,296.89
0.0109,1,521.945,-77.3765,-222.289,299.666
0.011,1,517.477,-86.8041,-215.342,302.146
0.0111,1,512.5,-96.1459,-208.182,304.328
0.0112,1,507.016,-105.393,-200.816,306.21
0.0113,1,501.032,-114.536,-193.253,307.789
0.0114,1,494.554,-123.566,-185.498,309.065
0.0115,1,487.587,-132.474,-177.561,310.036
0.0116,1,480.139,-141.251,-169.448,310.701
0.0117,1,472.218,-149.889,-161.169,311.059
0.0118,1,469.479,-158.379,-152.73,311.11
0.0119,1,477.557,-166.712,-144.14,310.854
0.012,1,485.163,-174.882,-135.408,310.291
0.0121,1,492.291,-182.878,-126.543,309.422
0.0122,1,498.932,-190.694,-117.552,308.248
0.0123,1,505.082,-198.322,-108.446,306.77
0.0124,1,510.732,-205.754,-99.2327,304.989
0.0125,1,515.879,-212.983,-89.9214,302.906
0.0126,1,520.517,-220.002,-80.5214,300.525
0.0127,1,524.641,-226.804,-71.0418,297.848
0.0128,1,528.247,-233.382,-61.4922,294.876
0.0129,1,531.332,-239.729,-51.8819,291.613
0.013,1,533.892,-245.84,-42.2203,288.063
0.0131,1,535.926,-251.709,-32.5172,284.228
0.0132,1,537.431,-257.329,-22.7819,280.113
0.0133,1,538.405,-262.695,-13.0241,275.721
