    "time","Circle_SWC_output_Coords.x","Circle_SWC_output_Coords.y"
         0,         0,         0
       0.1,      0.62,0.77999997
       0.2,-0.33000001,      0.94
       0.3,-0.99000001,      0.14
       0.4,-0.73000002,     -0.69
       0.5,0.18000001,-0.99000001
       0.6,0.95999998,     -0.28
       0.7,      0.81,0.56999999
       0.8,-0.050000001,0.99000001
       0.9,     -0.87,       0.5
         1,-0.88999999,-0.46000001
       1.1,      -0.1,        -1
       1.2,0.83999997,-0.54000002
       1.3,      0.94,0.31999999
       1.4,      0.23,0.97000003
       1.5,-0.69999999,0.72000003
       1.6,-0.99000001,      -0.2
       1.7,     -0.28,-0.97000003
       1.8,0.57999998,-0.81999999
       1.9,0.99000001,0.050000001
         2,0.49000001,0.86000001
       2.1,     -0.47,      0.88
       2.2,        -1,0.090000004
       2.3,     -0.62,-0.79000002
       2.4,0.41999999,-0.91000003
       2.5,0.97000003,-0.23999999
       2.6,0.70999998,      0.69
       2.7,      -0.2,0.98000002
       2.8,     -0.94,0.36000001
       2.9,     -0.75,-0.67000002
         3,0.050000001,        -1
       3.1,0.86000001,      -0.5
       3.2,      0.88,0.46000001
       3.3,0.079999998,0.99000001
       3.4,-0.85000002,0.51999998
       3.5,-0.94999999,     -0.34
       3.6,     -0.23,-0.98000002
       3.7,      0.69,-0.72000003
       3.8,0.97000003,      0.19
       3.9,0.25999999,0.95999998
         4,-0.58999997,0.80000001
