"time","Out1_1_","Out1_2_","Out2","Out3","Out4","Out5","Out6_1_","Out6_2_","Out6_3_","Out6_4_","Out6_5_","Out6_6_","Out7","Out9","Out10","Out11"
0,0,0,0,0,12,12,1,0,1,0,1,0,0,0,0,6
0.1,0,0.0998334,1,0,12,12,1,0,1,0,1,0,0,0,0.0199667,6
0.1,0,0.0998334,1,0,12,12,1,0,1,0,1,0,0,0,0.0199667,6
0.2,0,0.198669,2,0,12,12,1,0,1,0,1,0,0,0,0.0397339,6
0.2,0,0.198669,2,0,12,12,1,0,1,0,1,0,0,0,0.0397339,6
0.22,0,0.21823,2,0,12,12,1,0,1,0,1,0,0,0.21823,0.0397339,6
0.22,0,0.21823,2,0,12,12,1,0,1,0,1,0,0,0.21823,0.0397339,6
0.3,0,0.29552,3,0,12,12,1,0,1,0,1,0,0.29552,0.21823,0.059104,6
0.3,0,0.29552,3,0,12,12,1,0,1,0,1,0,0.29552,0.21823,0.059104,6
0.4,0,0.389418,4,0,12,12,1,0,1,0,1,0,0.29552,0.21823,0.0778837,6
0.4,0,0.389418,4,0,12,12,1,0,1,0,1,0,0.29552,0.21823,0.0778837,6
0.44,0,0.425939,5,0,12,12,1,0,1,0,1,0,0.29552,0.425939,0.0778837,6
0.44,0,0.425939,5,0,12,12,1,0,1,0,1,0,0.29552,0.425939,0.0778837,6
0.5,0,0.479426,5,0,12,12,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6
0.5,0,0.479426,5,0,12,12,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6
0.6,0,0.564642,6,0,12,12,1,0,1,0,1,0,0.564642,0.425939,0.112928,6
0.6,0,0.564642,6,0,12,12,1,0,1,0,1,0,0.564642,0.425939,0.112928,6
0.66,0,0.613117,7,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.112928,6
0.66,0,0.613117,7,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.112928,6
0.7,0,0.644218,7,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.128844,6
0.7,0,0.644218,7,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.128844,6
0.8,0,0.717356,8,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.143471,6
0.8,0,0.717356,8,0,12,12,1,0,1,0,1,0,0.564642,0.613117,0.143471,6
0.88,0,0.770739,9,0,12,12,1,0,1,0,1,0,0.564642,0.770739,0.143471,6
0.88,0,0.770739,9,0,12,12,1,0,1,0,1,0,0.564642,0.770739,0.143471,6
0.9,0,0.783327,9,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.156665,6
0.9,0,0.783327,9,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.156665,6
1,1,0.841471,10,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.168294,6
1,1,0.841471,10,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.168294,6
1,1,0.841471,10,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.168294,6
1,1,0.841471,10,0,12,12,1,0,1,0,1,0,0.783327,0.770739,0.168294,6
1.1,1,0.891207,10,0,12,12,1,0,1,0,1,0,0.783327,0.891207,0.178241,6
1.1,1,0.891207,10,0,12,12,1,0,1,0,1,0,0.783327,0.891207,0.178241,6
1.2,1,0.932039,11,0,12,12,1,0,1,0,1,0,0.932039,0.891207,0.186408,6
1.2,1,0.932039,11,0,12,12,1,0,1,0,1,0,0.932039,0.891207,0.186408,6
1.3,1,0.963558,11,0,12,12,1,0,1,0,1,0,0.932039,0.891207,0.192712,6
1.3,1,0.963558,11,0,12,12,1,0,1,0,1,0,0.932039,0.891207,0.192712,6
1.32,1,0.968715,11,0,12,12,1,0,1,0,1,0,0.932039,0.968715,0.192712,6
1.32,1,0.968715,11,0,12,12,1,0,1,0,1,0,0.932039,0.968715,0.192712,6
1.4,1,0.98545,11,0,12,12,1,0,1,0,1,0,0.932039,0.968715,0.19709,6
1.4,1,0.98545,11,0,12,12,1,0,1,0,1,0,0.932039,0.968715,0.19709,6
1.5,1,0.997495,11,0,12,12,1,0,1,0,1,0,0.997495,0.968715,0.199499,6
1.5,1,0.997495,11,0,12,12,1,0,1,0,1,0,0.997495,0.968715,0.199499,6
1.54,1,0.999526,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.199499,6
1.54,1,0.999526,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.199499,6
1.6,1,0.999574,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.199915,6
1.6,1,0.999574,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.199915,6
1.7,1,0.991665,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.198333,6
1.7,1,0.991665,11,0,12,12,1,0,1,0,1,0,0.997495,0.999526,0.198333,6
1.76,1,0.982154,11,0,12,12,1,0,1,0,1,0,0.997495,0.982154,0.198333,6
1.76,1,0.982154,11,0,12,12,1,0,1,0,1,0,0.997495,0.982154,0.198333,6
1.8,1,0.973848,11,0,12,12,1,0,1,0,1,0,0.973848,0.982154,0.19477,6
1.8,1,0.973848,11,0,12,12,1,0,1,0,1,0,0.973848,0.982154,0.19477,6
1.9,1,0.9463,11,0,12,12,1,0,1,0,1,0,0.973848,0.982154,0.18926,6
1.9,1,0.9463,11,0,12,12,1,0,1,0,1,0,0.973848,0.982154,0.18926,6
1.98,1,0.917438,11,0,12,12,1,0,1,0,1,0,0.973848,0.917438,0.18926,6
1.98,1,0.917438,11,0,12,12,1,0,1,0,1,0,0.973848,0.917438,0.18926,6
2,1,0.909297,10,0,12,12,1,0,1,0,1,0,0.973848,0.917438,0.181859,6
2,1,0.909297,10,0,12,12,1,0,1,0,1,0,0.973848,0.917438,0.181859,6
2.1,1,0.863209,10,0,12,12,1,0,1,0,1,0,0.863209,0.917438,0.172642,6
2.1,1,0.863209,10,0,12,12,1,0,1,0,1,0,0.863209,0.917438,0.172642,6
