"Time","onOffController.reference","temperatureSensor.T"
0.000000000000000E+00,2.500000000000000E+01,2.000000000000000E+01
1.000000000000000E-02,2.500000000000000E+01,2.009993022978000E+01
2.000000000000000E-02,2.500000000000000E+01,2.019972146860200E+01
3.000000000000000E-02,2.500000000000000E+01,2.029937394031100E+01
4.000000000000000E-02,2.500000000000000E+01,2.039888786828900E+01
5.000000000000000E-02,2.500000000000000E+01,2.049826347543700E+01
6.000000000000000E-02,2.500000000000000E+01,2.059750098419100E+01
7.000000000000001E-02,2.500000000000000E+01,2.069660061651700E+01
8.000000000000000E-02,2.500000000000000E+01,2.079556259391000E+01
9.000000000000000E-02,2.500000000000000E+01,2.089438713739100E+01
1.000000000000000E-01,2.500000000000000E+01,2.099307446753600E+01
1.100000000000000E-01,2.500000000000000E+01,2.109162480442900E+01
1.200000000000000E-01,2.500000000000000E+01,2.119003836771700E+01
1.300000000000000E-01,2.500000000000000E+01,2.128831537656500E+01
1.400000000000000E-01,2.500000000000000E+01,2.138645604968900E+01
1.500000000000000E-01,2.500000000000000E+01,2.148446060534400E+01
1.600000000000000E-01,2.500000000000000E+01,2.158232926132800E+01
1.700000000000000E-01,2.500000000000000E+01,2.168006223499100E+01
1.800000000000000E-01,2.500000000000000E+01,2.177765974321600E+01
1.900000000000000E-01,2.500000000000000E+01,2.187512200244200E+01
2.000000000000000E-01,2.500000000000000E+01,2.197244922863900E+01
2.100000000000000E-01,2.500000000000000E+01,2.206964163735300E+01
2.200000000000000E-01,2.500000000000000E+01,2.216669944366400E+01
2.300000000000000E-01,2.500000000000000E+01,2.226362286220500E+01
2.400000000000000E-01,2.500000000000000E+01,2.236041210717200E+01
2.500000000000000E-01,2.500000000000000E+01,2.245706739231300E+01
2.600000000000000E-01,2.500000000000000E+01,2.255358893091900E+01
2.700000000000000E-01,2.500000000000000E+01,2.264997693585500E+01
2.800000000000000E-01,2.500000000000000E+01,2.274623161954100E+01
2.900000000000000E-01,2.500000000000000E+01,2.284235319394900E+01
3.000000000000000E-01,2.500000000000000E+01,2.293834187062400E+01
3.100000000000000E-01,2.500000000000000E+01,2.303419786067500E+01
3.200000000000000E-01,2.500000000000000E+01,2.312992137476600E+01
3.300000000000000E-01,2.500000000000000E+01,2.322551262313300E+01
3.400000000000000E-01,2.500000000000000E+01,2.332097181557300E+01
3.500000000000000E-01,2.500000000000000E+01,2.341629916145100E+01
3.600000000000000E-01,2.500000000000000E+01,2.351149486970900E+01
3.700000000000000E-01,2.500000000000000E+01,2.360655914885900E+01
3.800000000000000E-01,2.500000000000000E+01,2.370149220697200E+01
3.900000000000000E-01,2.500000000000000E+01,2.379629425171600E+01
4.000000000000000E-01,2.500000000000000E+01,2.389096549030900E+01
4.100000000000000E-01,2.500000000000000E+01,2.398550612955500E+01
4.200000000000000E-01,2.500000000000000E+01,2.407991637584300E+01
4.300000000000000E-01,2.500000000000000E+01,2.417419643512300E+01
4.400000000000000E-01,2.500000000000000E+01,2.426834651294500E+01
4.500000000000000E-01,2.500000000000000E+01,2.436236681441900E+01
4.600000000000000E-01,2.500000000000000E+01,2.445625754424900E+01
4.700000000000000E-01,2.500000000000000E+01,2.455001890672500E+01
4.800000000000000E-01,2.500000000000000E+01,2.464365110571300E+01
4.900000000000000E-01,2.500000000000000E+01,2.473715434467400E+01
5.000000000000000E-01,2.500000000000000E+01,2.483052882664100E+01
5.100000000000000E-01,2.500000000000000E+01,2.492377475425000E+01
5.200000000000000E-01,2.500000000000000E+01,2.501689232971300E+01
5.300000000000000E-01,2.500000000000000E+01,2.510988175484900E+01
5.400000000000000E-01,2.500000000000000E+01,2.520274323105400E+01
5.500000000000000E-01,2.500000000000000E+01,2.529547695931700E+01
5.600000000000001E-01,2.500000000000000E+01,2.538808314023200E+01
5.700000000000000E-01,2.500000000000000E+01,2.548056197397800E+01
5.800000000000000E-01,2.500000000000000E+01,2.557291366034400E+01
5.900000000000000E-01,2.500000000000000E+01,2.566513839869800E+01
6.000000000000000E-01,2.500000000000000E+01,2.575723638801800E+01
6.100000000000000E-01,2.500000000000000E+01,2.584920782687700E+01
6.200000000000000E-01,2.500000000000000E+01,2.594105291344800E+01
6.300000000000000E-01,2.500000000000000E+01,2.599785613199000E+01
6.400000000000000E-01,2.500000000000000E+01,2.599186127480900E+01
6.500000000000000E-01,2.500000000000000E+01,2.598587240948900E+01
6.600000000000000E-01,2.500000000000000E+01,2.597988953004100E+01
6.700000000000000E-01,2.500000000000000E+01,2.597391263048200E+01
6.800000000000000E-01,2.500000000000000E+01,2.596794170483600E+01
6.899999999999999E-01,2.500000000000000E+01,2.596197674713000E+01
7.000000000000000E-01,2.500000000000000E+01,2.595601775140000E+01
7.100000000000000E-01,2.500000000000000E+01,2.595006471168800E+01
7.200000000000000E-01,2.500000000000000E+01,2.594411762204000E+01
7.300000000000000E-01,2.500000000000000E+01,2.593817647650900E+01
7.400000000000000E-01,2.500000000000000E+01,2.593224126915400E+01
7.500000000000000E-01,2.500000000000000E+01,2.592631199403900E+01
7.600000000000000E-01,2.500000000000000E+01,2.592038864523600E+01
7.700000000000000E-01,2.500000000000000E+01,2.591447121682100E+01
7.800000000000000E-01,2.500000000000000E+01,2.590855970287700E+01
7.900000000000000E-01,2.500000000000000E+01,2.590265409749200E+01
8.000000000000000E-01,2.500000000000000E+01,2.589675439476000E+01
8.100000000000001E-01,2.500000000000000E+01,2.589086058878200E+01
8.200000000000000E-01,2.500000000000000E+01,2.588497267366500E+01
8.300000000000000E-01,2.500000000000000E+01,2.587909064351900E+01
8.400000000000000E-01,2.500000000000000E+01,2.587321449246400E+01
8.500000000000000E-01,2.500000000000000E+01,2.586734421462200E+01
8.600000000000000E-01,2.500000000000000E+01,2.586147980412400E+01
8.700000000000000E-01,2.500000000000000E+01,2.585562125510600E+01
8.800000000000000E-01,2.500000000000000E+01,2.584976856170800E+01
8.900000000000000E-01,2.500000000000000E+01,2.584392171807800E+01
9.000000000000000E-01,2.500000000000000E+01,2.583808071836900E+01
9.100000000000000E-01,2.500000000000000E+01,2.583224555674000E+01
9.200000000000000E-01,2.500000000000000E+01,2.582641622735700E+01
9.300000000000000E-01,2.500000000000000E+01,2.582059272438900E+01
9.399999999999999E-01,2.500000000000000E+01,2.581477504201300E+01
9.500000000000000E-01,2.500000000000000E+01,2.580896317441200E+01
9.600000000000000E-01,2.500000000000000E+01,2.580315711577300E+01
9.700000000000000E-01,2.500000000000000E+01,2.579735686029100E+01
9.800000000000000E-01,2.500000000000000E+01,2.579156240216500E+01
9.900000000000000E-01,2.500000000000000E+01,2.578577373560100E+01
1.000000000000000E+00,2.500000000000000E+01,2.577999085481000E+01
1.010000000000000E+00,2.500000000000000E+01,2.577421375401000E+01
1.020000000000000E+00,2.500000000000000E+01,2.576844242742200E+01
1.030000000000000E+00,2.500000000000000E+01,2.576267686927700E+01
1.040000000000000E+00,2.500000000000000E+01,2.575691707380800E+01
1.050000000000000E+00,2.500000000000000E+01,2.575116303525500E+01
1.060000000000000E+00,2.500000000000000E+01,2.574541474786500E+01
1.070000000000000E+00,2.500000000000000E+01,2.573967220588900E+01
1.080000000000000E+00,2.500000000000000E+01,2.573393540358400E+01
1.090000000000000E+00,2.500000000000000E+01,2.572820433521500E+01
1.100000000000000E+00,2.500000000000000E+01,2.572247899504900E+01
1.110000000000000E+00,2.500000000000000E+01,2.571675937736200E+01
1.120000000000000E+00,2.500000000000000E+01,2.571104547643300E+01
1.130000000000000E+00,2.500000000000000E+01,2.570533728655000E+01
1.140000000000000E+00,2.500000000000000E+01,2.569963480200300E+01
1.150000000000000E+00,2.500000000000000E+01,2.569393801709000E+01
1.160000000000000E+00,2.500000000000000E+01,2.568824692611500E+01
1.170000000000000E+00,2.500000000000000E+01,2.568256152338600E+01
1.180000000000000E+00,2.500000000000000E+01,2.567688180321800E+01
1.190000000000000E+00,2.500000000000000E+01,2.567120775993100E+01
1.200000000000000E+00,2.500000000000000E+01,2.566553938785200E+01
1.210000000000000E+00,2.500000000000000E+01,2.565987668131100E+01
1.220000000000000E+00,2.500000000000000E+01,2.565421963464700E+01
1.230000000000000E+00,2.500000000000000E+01,2.564856824220100E+01
1.240000000000000E+00,2.500000000000000E+01,2.564292249832300E+01
1.250000000000000E+00,2.500000000000000E+01,2.563728239736700E+01
1.260000000000000E+00,2.500000000000000E+01,2.563164793369300E+01
1.270000000000000E+00,2.500000000000000E+01,2.562601910166600E+01
1.280000000000000E+00,2.500000000000000E+01,2.562039589565800E+01
1.290000000000000E+00,2.500000000000000E+01,2.561477831004500E+01
1.300000000000000E+00,2.500000000000000E+01,2.560916633921000E+01
1.310000000000000E+00,2.500000000000000E+01,2.560355997754100E+01
1.320000000000000E+00,2.500000000000000E+01,2.559795921943100E+01
1.330000000000000E+00,2.500000000000000E+01,2.559236405927900E+01
1.340000000000000E+00,2.500000000000000E+01,2.558677449149200E+01
1.350000000000000E+00,2.500000000000000E+01,2.558119051047800E+01
1.360000000000000E+00,2.500000000000000E+01,2.557561211065400E+01
1.370000000000000E+00,2.500000000000000E+01,2.557003928644100E+01
1.380000000000000E+00,2.500000000000000E+01,2.556447203226700E+01
1.390000000000000E+00,2.500000000000000E+01,2.555891034256500E+01
1.400000000000000E+00,2.500000000000000E+01,2.555335421177200E+01
1.410000000000000E+00,2.500000000000000E+01,2.554780363433300E+01
1.420000000000000E+00,2.500000000000000E+01,2.554225860469800E+01
1.430000000000000E+00,2.500000000000000E+01,2.553671911732000E+01
1.440000000000000E+00,2.500000000000000E+01,2.553118516666000E+01
1.450000000000000E+00,2.500000000000000E+01,2.552565674718600E+01
1.460000000000000E+00,2.500000000000000E+01,2.552013385336700E+01
1.470000000000000E+00,2.500000000000000E+01,2.551461647968200E+01
1.480000000000000E+00,2.500000000000000E+01,2.550910462061200E+01
1.490000000000000E+00,2.500000000000000E+01,2.550359827064700E+01
1.500000000000000E+00,2.500000000000000E+01,2.549809742427900E+01
1.510000000000000E+00,2.500000000000000E+01,2.549260207600800E+01
1.520000000000000E+00,2.500000000000000E+01,2.548711222033900E+01
1.530000000000000E+00,2.500000000000000E+01,2.548162785178100E+01
1.540000000000000E+00,2.500000000000000E+01,2.547614896485100E+01
1.550000000000000E+00,2.500000000000000E+01,2.547067555406900E+01
1.560000000000000E+00,2.500000000000000E+01,2.546520761396200E+01
1.570000000000000E+00,2.500000000000000E+01,2.545974513906100E+01
1.580000000000000E+00,2.500000000000000E+01,2.545428812390600E+01
1.590000000000000E+00,2.500000000000000E+01,2.544883656303800E+01
1.600000000000000E+00,2.500000000000000E+01,2.544339045100600E+01
1.610000000000000E+00,2.500000000000000E+01,2.543794978236400E+01
1.620000000000000E+00,2.500000000000000E+01,2.543251455167100E+01
1.630000000000000E+00,2.500000000000000E+01,2.542708475349200E+01
1.640000000000000E+00,2.500000000000000E+01,2.542166038239700E+01
1.650000000000000E+00,2.500000000000000E+01,2.541624143296200E+01
1.660000000000000E+00,2.500000000000000E+01,2.541082789976800E+01
1.670000000000000E+00,2.500000000000000E+01,2.540541977740100E+01
1.680000000000000E+00,2.500000000000000E+01,2.540001706045300E+01
1.690000000000000E+00,2.500000000000000E+01,2.539461974352200E+01
1.700000000000000E+00,2.500000000000000E+01,2.538922782121000E+01
1.710000000000000E+00,2.500000000000000E+01,2.538384128812500E+01
1.720000000000000E+00,2.500000000000000E+01,2.537846013888100E+01
1.730000000000000E+00,2.500000000000000E+01,2.537308436809600E+01
1.740000000000000E+00,2.500000000000000E+01,2.536771397039500E+01
1.750000000000000E+00,2.500000000000000E+01,2.536234894040800E+01
1.760000000000000E+00,2.500000000000000E+01,2.535698927276900E+01
1.770000000000000E+00,2.500000000000000E+01,2.535163496211800E+01
1.780000000000000E+00,2.500000000000000E+01,2.534628600310200E+01
1.790000000000000E+00,2.500000000000000E+01,2.534094239037100E+01
1.800000000000000E+00,2.500000000000000E+01,2.533560411858200E+01
1.810000000000000E+00,2.500000000000000E+01,2.533027118239700E+01
1.820000000000000E+00,2.500000000000000E+01,2.532494357648200E+01
1.830000000000000E+00,2.500000000000000E+01,2.531962129551000E+01
1.840000000000000E+00,2.500000000000000E+01,2.531430433415900E+01
1.850000000000000E+00,2.500000000000000E+01,2.530899268711200E+01
1.860000000000000E+00,2.500000000000000E+01,2.530368634905700E+01
1.870000000000000E+00,2.500000000000000E+01,2.529838531468700E+01
1.880000000000000E+00,2.500000000000000E+01,2.529308957870200E+01
1.890000000000000E+00,2.500000000000000E+01,2.528779913580700E+01
1.900000000000000E+00,2.500000000000000E+01,2.528251398070900E+01
1.910000000000000E+00,2.500000000000000E+01,2.527723410812500E+01
1.920000000000000E+00,2.500000000000000E+01,2.527195951277500E+01
1.930000000000000E+00,2.500000000000000E+01,2.526669018938300E+01
1.940000000000000E+00,2.500000000000000E+01,2.526142613268100E+01
1.950000000000000E+00,2.500000000000000E+01,2.525616733740500E+01
1.960000000000000E+00,2.500000000000000E+01,2.525091379829500E+01
1.970000000000000E+00,2.500000000000000E+01,2.524566551009900E+01
1.980000000000000E+00,2.500000000000000E+01,2.524042246756700E+01
1.990000000000000E+00,2.500000000000000E+01,2.523518466545800E+01
2.000000000000000E+00,2.500000000000000E+01,2.522995209853200E+01
2.010000000000000E+00,2.504166666670000E+01,2.522472476155800E+01
2.020000000000000E+00,2.508333333330000E+01,2.521950264930800E+01
2.030000000000000E+00,2.512500000000000E+01,2.521428575656000E+01
2.040000000000000E+00,2.516666666670000E+01,2.520907407809700E+01
2.050000000000000E+00,2.520833333330000E+01,2.520386760870800E+01
2.060000000000000E+00,2.525000000000000E+01,2.519866634318500E+01
2.070000000000000E+00,2.529166666670000E+01,2.519347027632900E+01
2.080000000000000E+00,2.533333333330000E+01,2.518827940294200E+01
2.090000000000000E+00,2.537500000000000E+01,2.518309371783400E+01
2.100000000000000E+00,2.541666666670000E+01,2.517791321581900E+01
2.110000000000000E+00,2.545833333330000E+01,2.517273789171700E+01
2.120000000000000E+00,2.550000000000000E+01,2.516756774035100E+01
2.130000000000000E+00,2.554166666670000E+01,2.516240275655300E+01
2.140000000000000E+00,2.558333333330000E+01,2.515724293515800E+01
2.150000000000000E+00,2.562500000000000E+01,2.515208827100400E+01
2.160000000000000E+00,2.566666666670000E+01,2.514693875893800E+01
2.170000000000000E+00,2.570833333330000E+01,2.514179439381000E+01
2.180000000000000E+00,2.575000000000000E+01,2.513665517047600E+01
