"time","B1.f2.Pt","B1.f2.m","B2.f2.Pt","B2.f2.m","C1.V_bubble","C2.V_bubble","D1.f_out.m","D2.f_out.m","D3.f_out.m","D4.f_out.m","D5.f_out.m","D6.f_out.m","D7.f_out.m","D8.f_out.m","E1.on.signal[1]","E2.on.signal[1]","V1.s_pos.signal[1]","V2.s_pos.signal[1]"
0,1.40056,-69.1328,1.40056,-69.1328,4.38349,4.38349,-69.1328,-69.1328,-1.25279e-05,-3.98131e-05,7.05615e-05,-1.07007e-05,-2.01747e-07,-7.31807e-06,0,0,0,0
0.25,1.43362,-18.332,1.40056,-69.1328,4.39734,4.40078,-20.0265,-69.1328,-1.25278e-05,-3.9812e-05,7.05595e-05,-1.07002e-05,-2.01747e-07,-7.31785e-06,1,0,0,0
0.5,1.49862,246.913,1.40056,-69.1328,4.37367,4.41807,245.022,-69.1328,-1.25276e-05,-3.98108e-05,7.05576e-05,-1.06997e-05,-2.01748e-07,-7.31764e-06,1,0,0,0
0.75,1.56609,708.7,1.40056,-69.1328,4.25731,4.43537,708.324,-69.1328,-1.25275e-05,-3.98097e-05,7.05556e-05,-1.06993e-05,-2.01748e-07,-7.31742e-06,1,0,0,0
1,1.6098,1196.31,1.40056,-69.1328,4.01612,4.45266,1197.45,-69.1328,-1.25273e-05,-3.98085e-05,7.05536e-05,-1.06988e-05,-2.01748e-07,-7.31721e-06,1,0,0,0
1.25,1.68576,1538.95,1.40056,-69.1328,3.67171,4.46995,1539.45,-69.1328,-1.25272e-05,-3.98074e-05,7.05516e-05,-1.06983e-05,-2.01748e-07,-7.317e-06,1,0,0,0
1.5,1.8069,1788.9,1.40056,-69.1328,3.25417,4.48725,1789.32,-69.1328,-1.25271e-05,-3.98062e-05,7.05497e-05,-1.06978e-05,-2.01749e-07,-7.31678e-06,1,0,0,0
1.75,1.97779,1968.52,1.40056,-69.1328,2.7831,4.50454,1969.02,-69.1328,-1.25269e-05,-3.98051e-05,7.05477e-05,-1.06974e-05,-2.01749e-07,-7.31657e-06,1,0,0,0
2,2.22623,2067.65,1.40056,-69.1328,2.27694,4.52183,2068.31,-69.1328,-1.25268e-05,-3.9804e-05,7.05457e-05,-1.06969e-05,-2.01749e-07,-7.31636e-06,1,0,0,0
2.25,2.61185,2061.8,1.40056,-69.1328,1.75854,4.53913,2063.06,-69.1328,-1.25266e-05,-3.98028e-05,7.05437e-05,-1.06964e-05,-2.01749e-07,-7.31614e-06,1,0,0,0
2.5,3.21546,1815.8,1.40056,-69.1328,1.26719,4.55642,1816.46,-69.1328,-1.25265e-05,-3.98017e-05,7.05417e-05,-1.06959e-05,-2.01749e-07,-7.31593e-06,1,0,0,0
2.75,4.13905,1197.69,1.40056,-69.1328,0.876444,4.57372,1195.77,-69.1328,-1.25263e-05,-3.98005e-05,7.05398e-05,-1.06954e-05,-2.0175e-07,-7.31571e-06,1,0,0,0
3,4.99246,273.918,1.40056,-69.1328,0.713188,4.59101,261.451,-69.1328,-1.25262e-05,-3.97994e-05,7.05378e-05,-1.0695e-05,-2.0175e-07,-7.3155e-06,1,0,0,0
3.25,5.21245,79.0877,1.40056,-69.1328,0.675805,4.6083,77.1158,-69.1328,-1.2526e-05,-3.97982e-05,7.05358e-05,-1.06945e-05,-2.0175e-07,-7.31529e-06,1,0,0,0
3.5,5.23338,51.5509,1.40056,-69.1328,0.661113,4.6256,51.4063,-69.1328,-1.25259e-05,-3.97971e-05,7.05338e-05,-1.0694e-05,-2.0175e-07,-7.31507e-06,1,0,0,0
3.75,5.22904,56.1397,1.40056,-69.1328,0.647624,4.64289,56.2263,-69.1328,-1.25257e-05,-3.9796e-05,7.05319e-05,-1.06935e-05,-2.01751e-07,-7.31486e-06,1,0,0,0
4,5.22863,56.8282,1.40056,-69.1328,0.633428,4.66018,56.8302,-69.1328,-1.25256e-05,-3.97948e-05,7.05299e-05,-1.06931e-05,-2.01751e-07,-7.31465e-06,1,0,0,0
4.25,5.22886,56.5576,1.40056,-69.1328,0.619255,4.67748,56.5528,-69.1328,-1.25255e-05,-3.97937e-05,7.05279e-05,-1.06926e-05,-2.01751e-07,-7.31443e-06,1,0,0,0
4.5,5.22885,56.5616,1.40056,-69.1328,0.605108,4.69477,56.562,-69.1328,-1.25253e-05,-3.97925e-05,7.05259e-05,-1.06921e-05,-2.01751e-07,-7.31422e-06,1,0,0,0
4.75,5.22884,56.5724,1.40056,-69.1328,0.590957,4.71206,56.5726,-69.1328,-1.25252e-05,-3.97914e-05,7.05239e-05,-1.06916e-05,-2.01752e-07,-7.314e-06,1,0,0,0
5,5.22885,56.5706,1.40056,-69.1328,0.576806,4.72936,56.5706,-69.1328,-1.2525e-05,-3.97902e-05,7.0522e-05,-1.06912e-05,-2.01752e-07,-7.31379e-06,1,0,0,0
5.25,5.22885,56.5705,1.40056,-69.1328,0.562655,4.74665,56.5705,-69.1328,-1.25249e-05,-3.97891e-05,7.052e-05,-1.06907e-05,-2.01752e-07,-7.31358e-06,1,0,0,0
5.5,5.22885,56.5706,1.40056,-69.1328,0.548504,4.76394,56.5706,-69.1328,-1.25247e-05,-3.9788e-05,7.0518e-05,-1.06902e-05,-2.01752e-07,-7.31336e-06,1,0,0,0
5.75,5.22885,56.5705,1.40056,-69.1328,0.534353,4.78124,56.5705,-69.1328,-1.25246e-05,-3.97868e-05,7.0516e-05,-1.06897e-05,-2.01752e-07,-7.31315e-06,1,0,0,0
6,5.22885,56.5705,1.40056,-69.1328,0.520201,4.79853,56.5705,-69.1328,-1.25244e-05,-3.97857e-05,7.05141e-05,-1.06893e-05,-2.01753e-07,-7.31294e-06,1,0,0,0
6.25,5.22885,56.5705,1.40056,-69.1328,0.50605,4.81583,56.5705,-69.1328,-1.25243e-05,-3.97845e-05,7.05121e-05,-1.06888e-05,-2.01753e-07,-7.31272e-06,1,0,0,0
6.5,5.22885,56.5705,1.40056,-69.1328,0.491899,4.83312,56.5705,-69.1328,-1.25242e-05,-3.97834e-05,7.05101e-05,-1.06883e-05,-2.01753e-07,-7.31251e-06,1,0,0,0
6.75,5.22885,56.5705,1.40056,-69.1328,0.477748,4.85041,56.5705,-69.1328,-1.2524e-05,-3.97822e-05,7.05081e-05,-1.06878e-05,-2.01753e-07,-7.31229e-06,1,0,0,0
7,5.22885,56.5705,1.40056,-69.1328,0.463597,4.86771,56.5705,-69.1328,-1.25239e-05,-3.97811e-05,7.05061e-05,-1.06873e-05,-2.01754e-07,-7.31208e-06,1,0,0,0
7.25,5.22885,56.5705,1.40056,-69.1328,0.449446,4.885,56.5705,-69.1328,-1.25237e-05,-3.978e-05,7.05042e-05,-1.06869e-05,-2.01754e-07,-7.31187e-06,1,0,0,0
7.5,5.22885,56.5705,1.40056,-69.1328,0.435295,4.90229,56.5705,-69.1328,-1.25236e-05,-3.97788e-05,7.05022e-05,-1.06864e-05,-2.01754e-07,-7.31165e-06,1,0,0,0
7.75,5.22885,56.5705,1.40056,-69.1328,0.421144,4.91959,56.5705,-69.1328,-1.25234e-05,-3.97777e-05,7.05002e-05,-1.06859e-05,-2.01754e-07,-7.31144e-06,1,0,0,0
8,5.22885,56.5705,1.40056,-69.1328,0.406992,4.93688,56.5705,-69.1328,-1.25233e-05,-3.97765e-05,7.04982e-05,-1.06854e-05,-2.01755e-07,-7.31123e-06,1,0,0,0
8.25,5.22885,56.5705,1.40056,-69.1328,0.392841,4.95417,56.5705,-69.1328,-1.25231e-05,-3.97754e-05,7.04963e-05,-1.0685e-05,-2.01755e-07,-7.31101e-06,1,0,0,0
8.5,5.22885,56.5705,1.40056,-69.1328,0.37869,4.97147,56.5705,-69.1328,-1.2523e-05,-3.97742e-05,7.04943e-05,-1.06845e-05,-2.01755e-07,-7.3108e-06,1,0,0,0
8.75,5.22885,56.5705,1.40056,-69.1328,0.364539,4.98876,56.5705,-69.1328,-1.25228e-05,-3.97731e-05,7.04923e-05,-1.0684e-05,-2.01756e-07,-7.31059e-06,1,0,0,0
9,5.22885,56.5705,1.40056,-69.1328,0.350388,5.00605,56.5705,-69.1328,-1.25227e-05,-3.9772e-05,7.04903e-05,-1.06835e-05,-2.01756e-07,-7.31037e-06,1,0,0,0
9.25,5.22885,56.5705,1.40056,-69.1328,0.336237,5.02335,56.5705,-69.1328,-1.25226e-05,-3.97708e-05,7.04883e-05,-1.06831e-05,-2.01756e-07,-7.31016e-06,1,0,0,0
9.5,5.22885,56.5705,1.40056,-69.1328,0.322086,5.04064,56.5705,-69.1328,-1.25224e-05,-3.97697e-05,7.04864e-05,-1.06826e-05,-2.01756e-07,-7.30994e-06,1,0,0,0
9.75,5.22885,56.5705,1.40056,-69.1328,0.307935,5.05794,56.5705,-69.1328,-1.25223e-05,-3.97685e-05,7.04844e-05,-1.06821e-05,-2.01757e-07,-7.30973e-06,1,0,0,0
10,5.22885,56.5705,1.40056,-69.1328,0.293783,5.07523,56.5705,-69.1328,-1.25221e-05,-3.97674e-05,7.04824e-05,-1.06816e-05,-2.01757e-07,-7.30952e-06,1,0,0,0
10.25,5.22885,56.5705,1.40056,-69.1328,0.279632,5.09252,56.5705,-69.1328,-1.2522e-05,-3.97663e-05,7.04804e-05,-1.06812e-05,-2.01757e-07,-7.3093e-06,1,0,0,0
10.5,5.22885,56.5705,1.40056,-69.1328,0.265481,5.10982,56.5705,-69.1328,-1.25218e-05,-3.97651e-05,7.04785e-05,-1.06807e-05,-2.01757e-07,-7.30909e-06,1,0,0,0
10.75,5.22885,56.5705,1.40056,-69.1328,0.25133,5.12711,56.5705,-69.1328,-1.25217e-05,-3.9764e-05,7.04765e-05,-1.06802e-05,-2.01758e-07,-7.30888e-06,1,0,0,0
11,5.22885,56.5705,1.40056,-69.1328,0.237179,5.1444,56.5705,-69.1328,-1.25215e-05,-3.97628e-05,7.04745e-05,-1.06797e-05,-2.01758e-07,-7.30866e-06,1,0,0,0
11.25,5.22885,56.5705,1.40056,-69.1328,0.223028,5.1617,56.5705,-69.1328,-1.25214e-05,-3.97617e-05,7.04725e-05,-1.06793e-05,-2.01758e-07,-7.30845e-06,1,0,0,0
11.5,5.22885,56.5705,1.40056,-69.1328,0.208877,5.17899,56.5705,-69.1328,-1.25212e-05,-3.97605e-05,7.04706e-05,-1.06788e-05,-2.01758e-07,-7.30824e-06,1,0,0,0
11.75,5.22885,56.5705,1.40056,-69.1328,0.194725,5.19628,56.5705,-69.1328,-1.25211e-05,-3.97594e-05,7.04686e-05,-1.06783e-05,-2.01759e-07,-7.30802e-06,1,0,0,0
12,5.22885,56.5705,1.40056,-69.1328,0.180574,5.21358,56.5705,-69.1328,-1.2521e-05,-3.97583e-05,7.04666e-05,-1.06778e-05,-2.01759e-07,-7.30781e-06,1,0,0,0
12.25,5.22885,56.5705,1.40056,-69.1328,0.166423,5.23087,56.5705,-69.1328,-1.25208e-05,-3.97571e-05,7.04646e-05,-1.06773e-05,-2.01759e-07,-7.30759e-06,1,0,0,0
