    "time","Piston_r2","Inertia_w"
    0.0775,0.26120877, 53.978435
     0.078, 0.2585949, 55.209652
    0.0785,0.25586347, 56.444948
     0.079,0.25301429, 57.686519
    0.0795,0.25004752, 58.936856
      0.08,0.24696374,  60.19872
    0.0805,0.24376395, 61.475116
     0.081,0.24044954, 62.769275
    0.0815,0.23702241, 64.084618
     0.082, 0.2334849, 65.424739
    0.0825,0.22983986, 66.793365
     0.083,0.22609069, 68.194333
    0.0835,0.22224135, 69.631548
     0.084,0.21829638, 71.108949
    0.0845,  0.214261, 72.630453
     0.085,0.21014108, 74.199908
    0.0855,0.20594322, 75.821016
     0.086,0.20167479, 77.497257
    0.0865,0.19734395, 79.231778
     0.087,0.19295972, 81.027279
    0.0875,0.18853197,  82.88586
     0.088,0.18407147,  84.80885
    0.0885,0.17958989, 86.796609
     0.089,0.17509979,  88.84831
    0.0895,0.17061462, 90.961699
      0.09,0.16614862, 93.132863
    0.0905, 0.1617168, 95.355998
     0.091, 0.1573348, 97.623227
    0.0915,0.15301873,  99.92448
     0.092,  0.148785, 102.24747
    0.0925,0.14465013, 104.57779
     0.093,0.14063044, 106.89919
    0.0935,0.13674186, 109.19399
     0.094,0.13299956, 111.44364
    0.0945,0.12941777, 113.62941
     0.095,0.12600945, 115.73318
    0.0955,0.12278615, 117.73813
     0.096, 0.1197578, 119.62948
    0.0965,0.11693268, 121.39493
     0.097,0.11431739, 123.02502
    0.0975,0.11191691, 124.51319
     0.098,0.10973472, 125.85569
    0.0985,0.10777301, 127.05125
     0.099,0.10603285, 128.10064
    0.0995,0.10451447, 129.00618
       0.1,0.10321745, 129.77123
    0.1005,0.10214098, 130.39961
     0.101,0.10128405, 130.89524
    0.1015,0.10064564, 131.26168
     0.102,0.10022485, 131.50184
    0.1025,0.10002104, 131.61777
     0.103,0.10003387, 131.60509
    0.1035,0.10026332, 131.47325
     0.104,0.10070974, 131.21943
    0.1045,0.10137375, 130.84205
     0.105,0.10225626, 130.34058
    0.1055,0.10335842, 129.71475
     0.106,0.10468141, 128.96463
    0.1065,0.10622635, 128.09088
     0.107, 0.1079941, 127.09504
    0.1075,0.10998512, 125.97984
     0.108,0.11219926, 124.74951
    0.1085,0.11463565, 123.40999
     0.109,0.11729243, 121.96906
    0.1095, 0.1201667, 120.43678
      0.11,0.12325437, 118.82495
    0.1105,0.12655009, 117.14722
     0.111,0.13004721, 115.41871
    0.1115,0.13373785, 113.65562
     0.112,0.13761291, 111.87468
    0.1125,0.14166218, 110.09269
     0.113,0.14587451, 108.32593
    0.1135,0.15023793, 106.58975
     0.114,0.15473985, 104.89824
    0.1145,0.15936715, 103.26373
     0.115,0.16410645, 101.69741
    0.1155,0.16894416, 100.20835
     0.116,0.17386666, 98.804114
    0.1165, 0.1788604, 97.490795
     0.117,0.18391198, 96.273212
    0.1175,0.18900824, 95.155116
     0.118,0.19413628, 94.139416
    0.1185,0.19928352, 93.228385
     0.119, 0.2044377, 92.423857
    0.1195,0.20958688, 91.727403
      0.12,0.21471883, 91.140326
    0.1205,0.21982194, 90.664118
     0.121,0.22488552,   90.3003
    0.1215,0.22989884, 90.050554
     0.122,0.23485122, 89.916642
    0.1225,0.23973182, 89.900483
     0.123,0.24452969, 90.004065
    0.1235,0.24923361, 90.229367
     0.124,  0.253832, 90.578188
    0.1245,0.25831272, 91.051955
     0.125,0.26266298, 91.651342
    0.1255,0.26686907, 92.375853
     0.126,0.27091623, 93.223252
    0.1265,0.27478842,  94.18883
     0.127,0.27846814, 95.264482
    0.1275,0.28193635, 96.437613
     0.128,0.28517232, 97.689909
    0.1285,0.28815369, 98.996097
     0.129,0.29085669, 100.32291
    0.1295,0.29325647, 101.62859
      0.13,0.29532782, 102.86346
    0.1305,0.29704611, 103.97187
     0.131,0.29838851, 104.89612
