"time","tempc@tpf_st_chamber","tau@tpf_st_chamber","press@tpf_st_chamber","dm2@tpf_pump","out2@division","torque@expseu_"
0,19.904,25,0.02337,0.130321,0.24,0
1,22.5616,25.7685,0.027506,0.0895202,0.247685,0
2,29.4449,26.2191,0.0413147,0.04253,0.252191,0.738041
3,35.56,26.4544,0.0582783,0.0179203,0.254544,0.871807
4,41.3369,26.5786,0.0795327,0.00488261,0.255786,0.997036
5,46.9824,26.6487,0.106447,0,0.256487,1.11098
6,52.633,26.716,0.140868,0,0.25716,1.2079
7,58.3045,26.7892,0.184579,0,0.257892,1.27622
8,63.9908,26.8682,0.239515,0,0.258682,1.30085
9,69.6858,26.9524,0.307868,0,0.259524,1.2636
10,75.3838,27.0415,0.392092,0,0.260415,1.14304
11,81.0796,27.1353,0.494905,0,0.261353,0.914354
12,86.7679,27.2332,0.619279,0,0.262332,0.549115
13,92.4439,27.3352,0.768427,0,0.263352,0.0155558
14,98.0939,27.4401,0.945485,0,0.264401,-0.90877
15,103.721,27.5482,1.15422,0,0.265482,-2.1416
16,109.319,27.659,1.39835,0,0.26659,-3.74187
17,114.883,27.7721,1.68161,0,0.267721,-5.80787
18,120.405,27.887,2.0077,0,0.26887,-8.42195
19,125.876,28.0028,2.38006,0,0.270028,-11.674
20,131.28,28.1184,2.80125,0,0.271184,-15.6539
21,136.504,28.2303,3.26411,0,0.272303,-20.3632
22,141.44,28.3343,3.75645,0,0.273343,-25.7178
23,145.972,28.426,4.25977,0,0.27426,-31.518
24,149.992,28.5004,4.75017,0,0.275004,-37.4569
25,153.401,28.553,5.20083,0,0.27553,-43.1629
26,156.131,28.5797,5.58571,0,0.275797,-48.2586
27,158.142,28.578,5.88355,0,0.27578,-52.4178
28,159.431,28.5469,6.08121,0,0.275469,-55.4147
29,160.034,28.4873,6.17525,0,0.274873,-57.1547
30,160.01,28.4016,6.17159,0,0.274016,-57.6768
31,159.444,28.2936,6.0832,0,0.272936,-57.1269
32,158.429,28.1676,5.92715,0,0.271676,-55.7125
33,157.058,28.0283,5.72156,0,0.270283,-53.6708
34,155.42,27.88,5.48333,0,0.2688,-51.2223
35,153.765,27.7308,5.2508,0,0.267308,-48.8447
36,153.256,27.6111,5.18097,0,0.266111,-48.4569
37,154.482,27.535,5.35064,0,0.26535,-51.0203
38,157.51,27.5032,5.78874,0,0.265032,-56.9811
39,161.13,27.4846,6.34958,0,0.264846,-64.6262
40,164.513,27.4568,6.91201,0,0.264568,-72.4355
41,167.372,27.4112,7.41746,0,0.264112,-79.6133
42,169.648,27.345,7.84055,0,0.26345,-85.7659
43,171.381,27.2588,8.17551,0,0.262588,-90.7626
44,172.652,27.1542,8.42807,0,0.261542,-94.6426
45,173.548,27.0338,8.60986,0,0.260338,-97.5419
46,174.153,26.9002,8.7345,0,0.259002,-99.6369
47,174.542,26.7558,8.81521,0,0.257558,-101.107
48,174.771,26.6034,8.86309,0.000851535,0.256034,-102.106
49,174.792,26.4681,8.86752,0.00619555,0.254681,-102.503
50,174.624,26.3603,8.83227,0.0104568,0.253603,-102.34
51,174.343,26.2756,8.77381,0.0138032,0.252756,-101.849
52,174.01,26.2104,8.70489,0.0163854,0.252104,-101.211
53,173.666,26.161,8.63408,0.0183405,0.25161,-100.546
54,173.335,26.1244,8.56647,0.0197911,0.251244,-99.9238
55,173.031,26.0978,8.50469,0.0208443,0.250978,-99.3803
56,172.759,26.079,8.44969,0.0215901,0.25079,-98.9278
57,172.519,26.0662,8.40149,0.0221028,0.250662,-98.565
58,172.31,26.0577,8.35956,0.0224421,0.250577,-98.2838
59,172.128,26.0524,8.32317,0.0226547,0.250524,-98.0732
60,171.969,26.0494,8.29151,0.0227767,0.250494,-97.9214
61,171.829,26.048,8.26384,0.0228354,0.25048,-97.8176
62,171.706,26.0476,8.23946,0.0228512,0.250476,-97.7522
63,171.596,26.048,8.21781,0.0228391,0.25048,-97.7168
64,171.498,26.0488,8.1984,0.0228098,0.250488,-97.7049
65,171.408,26.0499,8.18082,0.0227707,0.250499,-97.7109
66,171.327,26.0511,8.16476,0.0227271,0.250511,-97.7305
67,171.251,26.0523,8.14996,0.0226824,0.250523,-97.7604
68,171.181,26.0534,8.13621,0.0226389,0.250534,-97.7978
69,171.115,26.0545,8.12336,0.0225978,0.250545,-97.8407
70,171.053,26.0555,8.11127,0.0225599,0.250555,-97.8876
