"time","x@mass2port","output@integrator"
0.0001,-1,1.521
0.0081,-0.999969,1.52069
0.0162,-0.999873,1.51973
0.0243,-0.999714,1.51815
0.0324,-0.999491,1.51592
0.0404,-0.999208,1.5131
0.0484,-0.998861,1.50966
0.0564,-0.998452,1.5056
0.0644,-0.997979,1.50091
0.0724,-0.997443,1.49561
0.0804,-0.996842,1.48968
0.0884,-0.996176,1.48314
0.0964,-0.995446,1.47597
0.1044,-0.994649,1.46818
0.1124,-0.993786,1.45978
0.1204,-0.992855,1.45075
0.1285,-0.991843,1.44098
0.1366,-0.990761,1.43057
0.1447,-0.989607,1.41953
0.1528,-0.98838,1.40785
0.1609,-0.98708,1.39553
0.169,-0.985704,1.38258
0.1771,-0.984252,1.369
0.1852,-0.982721,1.35478
0.1933,-0.981112,1.33993
0.2014,-0.979421,1.32444
0.2095,-0.977647,1.30832
0.2176,-0.975789,1.29157
0.2257,-0.973844,1.27418
0.2338,-0.97181,1.25616
0.2419,-0.969684,1.23751
0.25,-0.967465,1.21823
0.2581,-0.965149,1.19831
0.2662,-0.962733,1.17776
0.2743,-0.960215,1.15658
0.2824,-0.957591,1.13478
0.2905,-0.954856,1.11234
0.2986,-0.952008,1.08927
0.3067,-0.949042,1.06558
0.3148,-0.945952,1.04125
0.3229,-0.942735,1.01631
0.331,-0.939385,0.990731
0.3391,-0.935894,0.964533
0.3472,-0.932258,0.937711
0.3553,-0.928467,0.910268
0.3634,-0.924516,0.882204
0.3715,-0.920393,0.853522
0.3796,-0.91609,0.824224
0.3877,-0.911596,0.794311
0.3958,-0.906899,0.763787
0.4039,-0.901984,0.732654
0.412,-0.896836,0.700915
0.4201,-0.891438,0.668576
0.4282,-0.885769,0.635639
0.4363,-0.879806,0.602112
0.4444,-0.873524,0.568
0.4525,-0.86689,0.533312
0.4606,-0.859867,0.498058
0.4687,-0.852413,0.46225
0.4768,-0.844474,0.425903
0.4849,-0.835986,0.389037
0.493,-0.826868,0.35168
0.5011,-0.817019,0.313866
0.5092,-0.806308,0.275645
0.5173,-0.794559,0.237087
0.5254,-0.781531,0.1983
0.5335,-0.766878,0.159456
0.5416,-0.750077,0.12085
0.5497,-0.730293,0.0830479
0.5578,-0.706087,0.0472861
0.5659,-0.674991,0.0167656
0.574,-0.634742,-6.36387e-05
0.5821,-0.591408,0.00601813
0.5902,-0.553502,0.0281733
0.5983,-0.520983,0.0572415
0.6064,-0.492079,0.0893153
0.6145,-0.46559,0.122786
0.6226,-0.440772,0.15688
0.6307,-0.41714,0.191166
0.6388,-0.394351,0.225377
0.6469,-0.372153,0.259333
0.655,-0.350343,0.292895
0.6631,-0.328751,0.325955
0.6712,-0.307226,0.358414
0.6793,-0.285622,0.390174
0.6874,-0.263793,0.421133
0.6955,-0.241587,0.451174
0.7036,-0.218833,0.480151
0.7117,-0.195337,0.507877
0.7198,-0.170871,0.534092
0.7279,-0.145171,0.558432
0.736,-0.117936,0.580361
0.7441,-0.0888684,0.599091
0.7522,-0.0577924,0.613503
0.7603,-0.024903,0.622204
0.7684,0.00896658,0.623975
0.7765,0.0424889,0.618513
0.7846,0.0745226,0.606671
0.7927,0.104575,0.589844
0.8008,0.132677,0.569316
0.8089,0.15909,0.546034
0.817,0.184122,0.520644
0.8251,0.208058,0.493588
0.8332,0.231146,0.46517
0.8413,0.253594,0.435608
0.8494,0.275584,0.405064
0.8575,0.297277,0.373669
0.8656,0.31882,0.341532
0.8737,0.340359,0.308749
0.8818,0.362041,0.275419
0.8899,0.384025,0.241646
0.898,0.406497,0.20755
0.9061,0.429679,0.17329
0.9142,0.453866,0.139087
0.9223,0.47946,0.105277
0.9304,0.507058,0.0724354
0.9385,0.537599,0.0416677
0.9466,0.572582,0.0154505
0.9547,0.6136,1.25754e-05
0.9628,0.656866,0.00587512
0.9709,0.692512,0.0313213
0.979,0.719731,0.0653005
0.9871,0.741438,0.102463
0.9952,0.759549,0.140877
1.0033,0.775153,0.179739
1.0114,0.788906,0.218653
1.0195,0.801228,0.2574
1.0276,0.812406,0.29585
1.0357,0.822643,0.333918
1.0438,0.83209,0.371547
1.0519,0.840863,0.408695
1.06,0.849051,0.445333
1.0681,0.856725,0.48144
1.0762,0.863943,0.516997
1.0843,0.870753,0.551991
1.0924,0.877196,0.586412
1.1005,0.883304,0.620251
1.1086,0.889106,0.6535
1.1167,0.894628,0.686155
1.1248,0.899889,0.718208
1.1329,0.904911,0.749658
1.141,0.909707,0.7805
1.1491,0.914294,0.81073
1.1572,0.918685,0.840347
1.1653,0.922889,0.869347
1.1734,0.926919,0.89773
1.1815,0.930784,0.925492
1.1896,0.934491,0.952633
1.1977,0.938048,0.979151
1.2058,0.941463,1.00504
1.2139,0.944742,1.03031
1.222,0.94789,1.05496
1.2301,0.950913,1.07897
1.2382,0.953816,1.10236
1.2463,0.956603,1.12511
1.2544,0.959278,1.14724
1.2625,0.961846,1.16874
1.2706,0.964309,1.18961
1.2787,0.966672,1.20985
1.2868,0.968936,1.22945
1.2949,0.971106,1.24842
