"time",	"Ball1_pos",	"Ball2_pos",	"Ball1_vel",	"Ball2_vel"
2.756,	14.08389,	14.08389,	-12.03636,	-12.03636
2.757,	14.07185,	14.07185,	-12.04617,	-12.04617
2.758,	14.0598,	14.0598,	-12.05598,	-12.05598
2.759,	14.04774,	14.04774,	-12.06579,	-12.06579
2.76,	14.03567,	14.03567,	-12.0756,	-12.0756
2.761,	14.02359,	14.02359,	-12.08541,	-12.08541
2.762,	14.0115,	14.0115,	-12.09522,	-12.09522
2.763,	13.9994,	13.9994,	-12.10503,	-12.10503
2.764,	13.98729,	13.98729,	-12.11484,	-12.11484
2.765,	13.97517,	13.97517,	-12.12465,	-12.12465
2.766,	13.96304,	13.96304,	-12.13446,	-12.13446
2.767,	13.9509,	13.9509,	-12.14427,	-12.14427
2.768,	13.93875,	13.93875,	-12.15408,	-12.15408
2.769,	13.92659,	13.92659,	-12.16389,	-12.16389
2.77,	13.91442,	13.91442,	-12.1737,	-12.1737
2.771,	13.90224,	13.90224,	-12.18351,	-12.18351
2.772,	13.89005,	13.89005,	-12.19332,	-12.19332
2.773,	13.87786,	13.87786,	-12.20313,	-12.20313
2.774,	13.86565,	13.86565,	-12.21294,	-12.21294
2.775,	13.85343,	13.85343,	-12.22275,	-12.22275
2.776,	13.8412,	13.8412,	-12.23256,	-12.23256
2.777,	13.82897,	13.82897,	-12.24237,	-12.24237
2.778,	13.81672,	13.81672,	-12.25218,	-12.25218
2.779,	13.80446,	13.80446,	-12.26199,	-12.26199
2.78,	13.7922,	13.7922,	-12.2718,	-12.2718
2.781,	13.77992,	13.77992,	-12.28161,	-12.28161
2.782,	13.76763,	13.76763,	-12.29142,	-12.29142
2.783,	13.75533,	13.75533,	-12.30123,	-12.30123
2.784,	13.74303,	13.74303,	-12.31104,	-12.31104
2.785,	13.73071,	13.73071,	-12.32085,	-12.32085
2.786,	13.71839,	13.71839,	-12.33066,	-12.33066
2.787,	13.70605,	13.70605,	-12.34047,	-12.34047
2.788,	13.69371,	13.69371,	-12.35028,	-12.35028
2.789,	13.68135,	13.68135,	-12.36009,	-12.36009
2.79,	13.66899,	13.66899,	-12.3699,	-12.3699
2.791,	13.65661,	13.65661,	-12.37971,	-12.37971
2.792,	13.64423,	13.64423,	-12.38952,	-12.38952
2.793,	13.63183,	13.63183,	-12.39933,	-12.39933
2.794,	13.61943,	13.61943,	-12.40914,	-12.40914
2.795,	13.60701,	13.60701,	-12.41895,	-12.41895
2.796,	13.59459,	13.59459,	-12.42876,	-12.42876
2.797,	13.58216,	13.58216,	-12.43857,	-12.43857
2.798,	13.56971,	13.56971,	-12.44838,	-12.44838
2.799,	13.55726,	13.55726,	-12.45819,	-12.45819
2.8,	13.5448,	13.5448,	-12.468,	-12.468
2.801,	13.53232,	13.53232,	-12.47781,	-12.47781
2.802,	13.51984,	13.51984,	-12.48762,	-12.48762
2.803,	13.50735,	13.50735,	-12.49743,	-12.49743
2.804,	13.49485,	13.49485,	-12.50724,	-12.50724
2.805,	13.48233,	13.48233,	-12.51705,	-12.51705
2.806,	13.46981,	13.46981,	-12.52686,	-12.52686
2.807,	13.45728,	13.45728,	-12.53667,	-12.53667
2.808,	13.44474,	13.44474,	-12.54648,	-12.54648
2.809,	13.43219,	13.43219,	-12.55629,	-12.55629
2.81,	13.41963,	13.41963,	-12.5661,	-12.5661
2.811,	13.40705,	13.40705,	-12.57591,	-12.57591
2.812,	13.39447,	13.39447,	-12.58572,	-12.58572
2.813,	13.38188,	13.38188,	-12.59553,	-12.59553
2.814,	13.36928,	13.36928,	-12.60534,	-12.60534
2.815,	13.35667,	13.35667,	-12.61515,	-12.61515
2.816,	13.34405,	13.34405,	-12.62496,	-12.62496
2.817,	13.33142,	13.33142,	-12.63477,	-12.63477
2.818,	13.31878,	13.31878,	-12.64458,	-12.64458
2.819,	13.30613,	13.30613,	-12.65439,	-12.65439
2.82,	13.29348,	13.29348,	-12.6642,	-12.6642
2.821,	13.28081,	13.28081,	-12.67401,	-12.67401
2.822,	13.26813,	13.26813,	-12.68382,	-12.68382
2.823,	13.25544,	13.25544,	-12.69363,	-12.69363
2.824,	13.24274,	13.24274,	-12.70344,	-12.70344
2.825,	13.23003,	13.23003,	-12.71325,	-12.71325
2.826,	13.21731,	13.21731,	-12.72306,	-12.72306
2.827,	13.20459,	13.20459,	-12.73287,	-12.73287
2.828,	13.19185,	13.19185,	-12.74268,	-12.74268
2.829,	13.1791,	13.1791,	-12.75249,	-12.75249
2.83,	13.16634,	13.16634,	-12.7623,	-12.7623
2.831,	13.15357,	13.15357,	-12.77211,	-12.77211
2.832,	13.1408,	13.1408,	-12.78192,	-12.78192
2.833,	13.12801,	13.12801,	-12.79173,	-12.79173
2.834,	13.11522,	13.11522,	-12.80154,	-12.80154
2.835,	13.10241,	13.10241,	-12.81135,	-12.81135
2.836,	13.08959,	13.08959,	-12.82116,	-12.82116
2.837,	13.07677,	13.07677,	-12.83097,	-12.83097
2.838,	13.06393,	13.06393,	-12.84078,	-12.84078
2.839,	13.05108,	13.05108,	-12.85059,	-12.85059
2.84,	13.03823,	13.03823,	-12.8604,	-12.8604
2.841,	13.02536,	13.02536,	-12.87021,	-12.87021
2.842,	13.01249,	13.01249,	-12.88002,	-12.88002
2.843,	12.9996,	12.9996,	-12.88983,	-12.88983
2.844,	12.98671,	12.98671,	-12.89964,	-12.89964
2.845,	12.9738,	12.9738,	-12.90945,	-12.90945
2.846,	12.96089,	12.96089,	-12.91926,	-12.91926
2.847,	12.94797,	12.94797,	-12.92907,	-12.92907
2.848,	12.93503,	12.93503,	-12.93888,	-12.93888
2.849,	12.92209,	12.92209,	-12.94869,	-12.94869
2.85,	12.90913,	12.90913,	-12.9585,	-12.9585
2.851,	12.89617,	12.89617,	-12.96831,	-12.96831
2.852,	12.8832,	12.8832,	-12.97812,	-12.97812
2.853,	12.87022,	12.87022,	-12.98793,	-12.98793
2.854,	12.85722,	12.85722,	-12.99774,	-12.99774
2.855,	12.84422,	12.84422,	-13.00755,	-13.00755
2.856,	12.83121,	12.83121,	-13.01736,	-13.01736
2.857,	12.81818,	12.81818,	-13.02717,	-13.02717
2.858,	12.80515,	12.80515,	-13.03698,	-13.03698
2.859,	12.79211,	12.79211,	-13.04679,	-13.04679
2.86,	12.77906,	12.77906,	-13.0566,	-13.0566
2.861,	12.766,	12.766,	-13.06641,	-13.06641
2.862,	12.75293,	12.75293,	-13.07622,	-13.07622
2.863,	12.73985,	12.73985,	-13.08603,	-13.08603
2.864,	12.72675,	12.72675,	-13.09584,	-13.09584
2.865,	12.71365,	12.71365,	-13.10565,	-13.10565
2.866,	12.70054,	12.70054,	-13.11546,	-13.11546
2.867,	12.68742,	12.68742,	-13.12527,	-13.12527
2.868,	12.67429,	12.67429,	-13.13508,	-13.13508
2.869,	12.66115,	12.66115,	-13.14489,	-13.14489
2.87,	12.648,	12.648,	-13.1547,	-13.1547
2.871,	12.63484,	12.63484,	-13.16451,	-13.16451
2.872,	12.62167,	12.62167,	-13.17432,	-13.17432
2.873,	12.60849,	12.60849,	-13.18413,	-13.18413
2.874,	12.59531,	12.59531,	-13.19394,	-13.19394
2.875,	12.58211,	12.58211,	-13.20375,	-13.20375
2.876,	12.5689,	12.5689,	-13.21356,	-13.21356
2.877,	12.55568,	12.55568,	-13.22337,	-13.22337
2.878,	12.54245,	12.54245,	-13.23318,	-13.23318
2.879,	12.52921,	12.52921,	-13.24299,	-13.24299
2.88,	12.51597,	12.51597,	-13.2528,	-13.2528
2.881,	12.50271,	12.50271,	-13.26261,	-13.26261
2.882,	12.48944,	12.48944,	-13.27242,	-13.27242
2.883,	12.47616,	12.47616,	-13.28223,	-13.28223
2.884,	12.46288,	12.46288,	-13.29204,	-13.29204
2.885,	12.44958,	12.44958,	-13.30185,	-13.30185
2.886,	12.43627,	12.43627,	-13.31166,	-13.31166
2.887,	12.42295,	12.42295,	-13.32147,	-13.32147
2.888,	12.40963,	12.40963,	-13.33128,	-13.33128
2.889,	12.39629,	12.39629,	-13.34109,	-13.34109
2.89,	12.38295,	12.38295,	-13.3509,	-13.3509
2.891,	12.36959,	12.36959,	-13.36071,	-13.36071
2.892,	12.35623,	12.35623,	-13.37052,	-13.37052
2.893,	12.34285,	12.34285,	-13.38033,	-13.38033
2.894,	12.32946,	12.32946,	-13.39014,	-13.39014
2.895,	12.31607,	12.31607,	-13.39995,	-13.39995
2.896,	12.30266,	12.30266,	-13.40976,	-13.40976
2.897,	12.28925,	12.28925,	-13.41957,	-13.41957
2.898,	12.27582,	12.27582,	-13.42938,	-13.42938
2.899,	12.26239,	12.26239,	-13.43919,	-13.43919
2.9,	12.24895,	12.24895,	-13.449,	-13.449
2.901,	12.23549,	12.23549,	-13.45881,	-13.45881
2.902,	12.22203,	12.22203,	-13.46862,	-13.46862
2.903,	12.20856,	12.20856,	-13.47843,	-13.47843
2.904,	12.19507,	12.19507,	-13.48824,	-13.48824
2.905,	12.18158,	12.18158,	-13.49805,	-13.49805
2.906,	12.16808,	12.16808,	-13.50786,	-13.50786
2.907,	12.15456,	12.15456,	-13.51767,	-13.51767
2.908,	12.14104,	12.14104,	-13.52748,	-13.52748
2.909,	12.12751,	12.12751,	-13.53729,	-13.53729
2.91,	12.11397,	12.11397,	-13.5471,	-13.5471
2.911,	12.10041,	12.10041,	-13.55691,	-13.55691
2.912,	12.08685,	12.08685,	-13.56672,	-13.56672
2.913,	12.07328,	12.07328,	-13.57653,	-13.57653
2.914,	12.0597,	12.0597,	-13.58634,	-13.58634
2.915,	12.04611,	12.04611,	-13.59615,	-13.59615
2.916,	12.03251,	12.03251,	-13.60596,	-13.60596
2.917,	12.0189,	12.0189,	-13.61577,	-13.61577
2.918,	12.00528,	12.00528,	-13.62558,	-13.62558
2.919,	11.99164,	11.99164,	-13.63539,	-13.63539
2.92,	11.97801,	11.97801,	-13.6452,	-13.6452
2.921,	11.96436,	11.96436,	-13.65501,	-13.65501
2.922,	11.9507,	11.9507,	-13.66482,	-13.66482
2.923,	11.93703,	11.93703,	-13.67463,	-13.67463
2.924,	11.92335,	11.92335,	-13.68444,	-13.68444
2.925,	11.90966,	11.90966,	-13.69425,	-13.69425
2.926,	11.89596,	11.89596,	-13.70406,	-13.70406
2.927,	11.88225,	11.88225,	-13.71387,	-13.71387
2.928,	11.86853,	11.86853,	-13.72368,	-13.72368
2.929,	11.8548,	11.8548,	-13.73349,	-13.73349
2.93,	11.84106,	11.84106,	-13.7433,	-13.7433
2.931,	11.82731,	11.82731,	-13.75311,	-13.75311
2.932,	11.81356,	11.81356,	-13.76292,	-13.76292
2.933,	11.79979,	11.79979,	-13.77273,	-13.77273
2.934,	11.78601,	11.78601,	-13.78254,	-13.78254
2.935,	11.77222,	11.77222,	-13.79235,	-13.79235
2.936,	11.75843,	11.75843,	-13.80216,	-13.80216
2.937,	11.74462,	11.74462,	-13.81197,	-13.81197
2.938,	11.7308,	11.7308,	-13.82178,	-13.82178
2.939,	11.71698,	11.71698,	-13.83159,	-13.83159
2.94,	11.70314,	11.70314,	-13.8414,	-13.8414
2.941,	11.68929,	11.68929,	-13.85121,	-13.85121
2.942,	11.67544,	11.67544,	-13.86102,	-13.86102
2.943,	11.66157,	11.66157,	-13.87083,	-13.87083
2.944,	11.64769,	11.64769,	-13.88064,	-13.88064
2.945,	11.63381,	11.63381,	-13.89045,	-13.89045
2.946,	11.61991,	11.61991,	-13.90026,	-13.90026
2.947,	11.60601,	11.60601,	-13.91007,	-13.91007
2.948,	11.59209,	11.59209,	-13.91988,	-13.91988
2.949,	11.57817,	11.57817,	-13.92969,	-13.92969
2.95,	11.56423,	11.56423,	-13.9395,	-13.9395
2.951,	11.55029,	11.55029,	-13.94931,	-13.94931
2.952,	11.53634,	11.53634,	-13.95912,	-13.95912
2.953,	11.52237,	11.52237,	-13.96893,	-13.96893
2.954,	11.5084,	11.5084,	-13.97874,	-13.97874
2.955,	11.49441,	11.49441,	-13.98855,	-13.98855
2.956,	11.48042,	11.48042,	-13.99836,	-13.99836
2.957,	11.46642,	11.46642,	-14.00817,	-14.00817
2.958,	11.4524,	11.4524,	-14.01798,	-14.01798
2.959,	11.43838,	11.43838,	-14.02779,	-14.02779
2.96,	11.42435,	11.42435,	-14.0376,	-14.0376
2.961,	11.41031,	11.41031,	-14.04741,	-14.04741
2.962,	11.39625,	11.39625,	-14.05722,	-14.05722
2.963,	11.38219,	11.38219,	-14.06703,	-14.06703
2.964,	11.36812,	11.36812,	-14.07684,	-14.07684
2.965,	11.35404,	11.35404,	-14.08665,	-14.08665
2.966,	11.33995,	11.33995,	-14.09646,	-14.09646
2.967,	11.32584,	11.32584,	-14.10627,	-14.10627
2.968,	11.31173,	11.31173,	-14.11608,	-14.11608
2.969,	11.29761,	11.29761,	-14.12589,	-14.12589
2.97,	11.28348,	11.28348,	-14.1357,	-14.1357
2.971,	11.26934,	11.26934,	-14.14551,	-14.14551
2.972,	11.25519,	11.25519,	-14.15532,	-14.15532
2.973,	11.24103,	11.24103,	-14.16513,	-14.16513
2.974,	11.22686,	11.22686,	-14.17494,	-14.17494
2.975,	11.21268,	11.21268,	-14.18475,	-14.18475
2.976,	11.19849,	11.19849,	-14.19456,	-14.19456
2.977,	11.18429,	11.18429,	-14.20437,	-14.20437
2.978,	11.17008,	11.17008,	-14.21418,	-14.21418
2.979,	11.15586,	11.15586,	-14.22399,	-14.22399
2.98,	11.14163,	11.14163,	-14.2338,	-14.2338
2.981,	11.1274,	11.1274,	-14.24361,	-14.24361
2.982,	11.11315,	11.11315,	-14.25342,	-14.25342
2.983,	11.09889,	11.09889,	-14.26323,	-14.26323
2.984,	11.08462,	11.08462,	-14.27304,	-14.27304
2.985,	11.07034,	11.07034,	-14.28285,	-14.28285
2.986,	11.05606,	11.05606,	-14.29266,	-14.29266
2.987,	11.04176,	11.04176,	-14.30247,	-14.30247
2.988,	11.02745,	11.02745,	-14.31228,	-14.31228
2.989,	11.01313,	11.01313,	-14.32209,	-14.32209
2.99,	10.99881,	10.99881,	-14.3319,	-14.3319
2.991,	10.98447,	10.98447,	-14.34171,	-14.34171
2.992,	10.97012,	10.97012,	-14.35152,	-14.35152
2.993,	10.95577,	10.95577,	-14.36133,	-14.36133
2.994,	10.9414,	10.9414,	-14.37114,	-14.37114
2.995,	10.92702,	10.92702,	-14.38095,	-14.38095
2.996,	10.91264,	10.91264,	-14.39076,	-14.39076
2.997,	10.89824,	10.89824,	-14.40057,	-14.40057
2.998,	10.88384,	10.88384,	-14.41038,	-14.41038
2.999,	10.86942,	10.86942,	-14.42019,	-14.42019
3,	10.855,	10.855,	-14.43,	-14.43
3.001,	10.84056,	10.84056,	-14.43981,	-14.43981
3.002,	10.82612,	10.82612,	-14.44962,	-14.44962
3.003,	10.81166,	10.81166,	-14.45943,	-14.45943
3.004,	10.7972,	10.7972,	-14.46924,	-14.46924
3.005,	10.78272,	10.78272,	-14.47905,	-14.47905
3.006,	10.76824,	10.76824,	-14.48886,	-14.48886
3.007,	10.75375,	10.75375,	-14.49867,	-14.49867
3.008,	10.73924,	10.73924,	-14.50848,	-14.50848
3.009,	10.72473,	10.72473,	-14.51829,	-14.51829
3.01,	10.71021,	10.71021,	-14.5281,	-14.5281
3.011,	10.69567,	10.69567,	-14.53791,	-14.53791
3.012,	10.68113,	10.68113,	-14.54772,	-14.54772
3.013,	10.66658,	10.66658,	-14.55753,	-14.55753
3.014,	10.65202,	10.65202,	-14.56734,	-14.56734
3.015,	10.63744,	10.63744,	-14.57715,	-14.57715
3.016,	10.62286,	10.62286,	-14.58696,	-14.58696
3.017,	10.60827,	10.60827,	-14.59677,	-14.59677
3.018,	10.59367,	10.59367,	-14.60658,	-14.60658
3.019,	10.57906,	10.57906,	-14.61639,	-14.61639
3.02,	10.56444,	10.56444,	-14.6262,	-14.6262
3.021,	10.5498,	10.5498,	-14.63601,	-14.63601
3.022,	10.53516,	10.53516,	-14.64582,	-14.64582
3.023,	10.52051,	10.52051,	-14.65563,	-14.65563
3.024,	10.50585,	10.50585,	-14.66544,	-14.66544
3.025,	10.49118,	10.49118,	-14.67525,	-14.67525
3.026,	10.4765,	10.4765,	-14.68506,	-14.68506
3.027,	10.46181,	10.46181,	-14.69487,	-14.69487
3.028,	10.44711,	10.44711,	-14.70468,	-14.70468
3.029,	10.4324,	10.4324,	-14.71449,	-14.71449
3.03,	10.41768,	10.41768,	-14.7243,	-14.7243
3.031,	10.40295,	10.40295,	-14.73411,	-14.73411
3.032,	10.38821,	10.38821,	-14.74392,	-14.74392
3.033,	10.37346,	10.37346,	-14.75373,	-14.75373
3.034,	10.35871,	10.35871,	-14.76354,	-14.76354
3.035,	10.34394,	10.34394,	-14.77335,	-14.77335
3.036,	10.32916,	10.32916,	-14.78316,	-14.78316
3.037,	10.31437,	10.31437,	-14.79297,	-14.79297
3.038,	10.29957,	10.29957,	-14.80278,	-14.80278
3.039,	10.28477,	10.28477,	-14.81259,	-14.81259
3.04,	10.26995,	10.26995,	-14.8224,	-14.8224
3.041,	10.25512,	10.25512,	-14.83221,	-14.83221
3.042,	10.24028,	10.24028,	-14.84202,	-14.84202
3.043,	10.22544,	10.22544,	-14.85183,	-14.85183
3.044,	10.21058,	10.21058,	-14.86164,	-14.86164
3.045,	10.19571,	10.19571,	-14.87145,	-14.87145
3.046,	10.18084,	10.18084,	-14.88126,	-14.88126
3.047,	10.16595,	10.16595,	-14.89107,	-14.89107
3.048,	10.15106,	10.15106,	-14.90088,	-14.90088
3.049,	10.13615,	10.13615,	-14.91069,	-14.91069
3.05,	10.12123,	10.12123,	-14.9205,	-14.9205
3.051,	10.10631,	10.10631,	-14.93031,	-14.93031
3.052,	10.09137,	10.09137,	-14.94012,	-14.94012
3.053,	10.07643,	10.07643,	-14.94993,	-14.94993
3.054,	10.06147,	10.06147,	-14.95974,	-14.95974
3.055,	10.04651,	10.04651,	-14.96955,	-14.96955
3.056,	10.03154,	10.03154,	-14.97936,	-14.97936
3.057,	10.01655,	10.01655,	-14.98917,	-14.98917
3.058,	10.00156,	10.00156,	-14.99898,	-14.99898
3.059,	9.986553,	9.986553,	-15.00879,	-15.00879
3.06,	9.971539,	9.971539,	-15.0186,	-15.0186
3.061,	9.956515,	9.956515,	-15.02841,	-15.02841
3.062,	9.941482,	9.941482,	-15.03822,	-15.03822
3.063,	9.926439,	9.926439,	-15.04803,	-15.04803
3.064,	9.911386,	9.911386,	-15.05784,	-15.05784
3.065,	9.896323,	9.896323,	-15.06765,	-15.06765
3.066,	9.881251,	9.881251,	-15.07746,	-15.07746
3.067,	9.866168,	9.866168,	-15.08727,	-15.08727
3.068,	9.851076,	9.851076,	-15.09708,	-15.09708
3.069,	9.835974,	9.835974,	-15.10689,	-15.10689
3.07,	9.820862,	9.820862,	-15.1167,	-15.1167
3.071,	9.805741,	9.805741,	-15.12651,	-15.12651
3.072,	9.790609,	9.790609,	-15.13632,	-15.13632
3.073,	9.775468,	9.775468,	-15.14613,	-15.14613
3.074,	9.760317,	9.760317,	-15.15594,	-15.15594
3.075,	9.745156,	9.745156,	-15.16575,	-15.16575
3.076,	9.729986,	9.729986,	-15.17556,	-15.17556
3.077,	9.714805,	9.714805,	-15.18537,	-15.18537
3.078,	9.699615,	9.699615,	-15.19518,	-15.19518
3.079,	9.684415,	9.684415,	-15.20499,	-15.20499
3.08,	9.669205,	9.669205,	-15.2148,	-15.2148
3.081,	9.653985,	9.653985,	-15.22461,	-15.22461
3.082,	9.638756,	9.638756,	-15.23442,	-15.23442
3.083,	9.623516,	9.623516,	-15.24423,	-15.24423
3.084,	9.608267,	9.608267,	-15.25404,	-15.25404
3.085,	9.593008,	9.593008,	-15.26385,	-15.26385
3.086,	9.57774,	9.57774,	-15.27366,	-15.27366
3.087,	9.562461,	9.562461,	-15.28347,	-15.28347
3.088,	9.547173,	9.547173,	-15.29328,	-15.29328
3.089,	9.531874,	9.531874,	-15.30309,	-15.30309
3.09,	9.516566,	9.516566,	-15.3129,	-15.3129
3.091,	9.501249,	9.501249,	-15.32271,	-15.32271
3.092,	9.485921,	9.485921,	-15.33252,	-15.33252
3.093,	9.470584,	9.470584,	-15.34233,	-15.34233
3.094,	9.455236,	9.455236,	-15.35214,	-15.35214
3.095,	9.439879,	9.439879,	-15.36195,	-15.36195
3.096,	9.424512,	9.424512,	-15.37176,	-15.37176
3.097,	9.409136,	9.409136,	-15.38157,	-15.38157
3.098,	9.393749,	9.393749,	-15.39138,	-15.39138
3.099,	9.378353,	9.378353,	-15.40119,	-15.40119
3.1,	9.362947,	9.362947,	-15.411,	-15.411
3.101,	9.347531,	9.347531,	-15.42081,	-15.42081
3.102,	9.332105,	9.332105,	-15.43062,	-15.43062
3.103,	9.31667,	9.31667,	-15.44043,	-15.44043
3.104,	9.301224,	9.301224,	-15.45024,	-15.45024
3.105,	9.285769,	9.285769,	-15.46005,	-15.46005
3.106,	9.270304,	9.270304,	-15.46986,	-15.46986
3.107,	9.25483,	9.25483,	-15.47967,	-15.47967
3.108,	9.239345,	9.239345,	-15.48948,	-15.48948
3.109,	9.223851,	9.223851,	-15.49929,	-15.49929
3.11,	9.208346,	9.208346,	-15.5091,	-15.5091
3.111,	9.192832,	9.192832,	-15.51891,	-15.51891
3.112,	9.177309,	9.177309,	-15.52872,	-15.52872
3.113,	9.161775,	9.161775,	-15.53853,	-15.53853
3.114,	9.146232,	9.146232,	-15.54834,	-15.54834
3.115,	9.130678,	9.130678,	-15.55815,	-15.55815
3.116,	9.115115,	9.115115,	-15.56796,	-15.56796
3.117,	9.099542,	9.099542,	-15.57777,	-15.57777
3.118,	9.08396,	9.08396,	-15.58758,	-15.58758
3.119,	9.068367,	9.068367,	-15.59739,	-15.59739
3.12,	9.052765,	9.052765,	-15.6072,	-15.6072
3.121,	9.037153,	9.037153,	-15.61701,	-15.61701
3.122,	9.021531,	9.021531,	-15.62682,	-15.62682
3.123,	9.005899,	9.005899,	-15.63663,	-15.63663
3.124,	8.990258,	8.990258,	-15.64644,	-15.64644
3.125,	8.974606,	8.974606,	-15.65625,	-15.65625
3.126,	8.958945,	8.958945,	-15.66606,	-15.66606
3.127,	8.943274,	8.943274,	-15.67587,	-15.67587
3.128,	8.927593,	8.927593,	-15.68568,	-15.68568
3.129,	8.911903,	8.911903,	-15.69549,	-15.69549
3.13,	8.896202,	8.896202,	-15.7053,	-15.7053
3.131,	8.880492,	8.880492,	-15.71511,	-15.71511
3.132,	8.864772,	8.864772,	-15.72492,	-15.72492
3.133,	8.849042,	8.849042,	-15.73473,	-15.73473
3.134,	8.833303,	8.833303,	-15.74454,	-15.74454
3.135,	8.817553,	8.817553,	-15.75435,	-15.75435
3.136,	8.801794,	8.801794,	-15.76416,	-15.76416
3.137,	8.786025,	8.786025,	-15.77397,	-15.77397
3.138,	8.770246,	8.770246,	-15.78378,	-15.78378
3.139,	8.754457,	8.754457,	-15.79359,	-15.79359
3.14,	8.738659,	8.738659,	-15.8034,	-15.8034
3.141,	8.722851,	8.722851,	-15.81321,	-15.81321
3.142,	8.707033,	8.707033,	-15.82302,	-15.82302
3.143,	8.691205,	8.691205,	-15.83283,	-15.83283
3.144,	8.675367,	8.675367,	-15.84264,	-15.84264
3.145,	8.659519,	8.659519,	-15.85245,	-15.85245
3.146,	8.643662,	8.643662,	-15.86226,	-15.86226
3.147,	8.627795,	8.627795,	-15.87207,	-15.87207
3.148,	8.611918,	8.611918,	-15.88188,	-15.88188
3.149,	8.596031,	8.596031,	-15.89169,	-15.89169
3.15,	8.580134,	8.580134,	-15.9015,	-15.9015
3.151,	8.564228,	8.564228,	-15.91131,	-15.91131
3.152,	8.548312,	8.548312,	-15.92112,	-15.92112
3.153,	8.532386,	8.532386,	-15.93093,	-15.93093
3.154,	8.51645,	8.51645,	-15.94074,	-15.94074
3.155,	8.500504,	8.500504,	-15.95055,	-15.95055
3.156,	8.484549,	8.484549,	-15.96036,	-15.96036
3.157,	8.468584,	8.468584,	-15.97017,	-15.97017
3.158,	8.452609,	8.452609,	-15.97998,	-15.97998
3.159,	8.436624,	8.436624,	-15.98979,	-15.98979
3.16,	8.420629,	8.420629,	-15.9996,	-15.9996
3.161,	8.404624,	8.404624,	-16.00941,	-16.00941
3.162,	8.38861,	8.38861,	-16.01922,	-16.01922
3.163,	8.372586,	8.372586,	-16.02903,	-16.02903
3.164,	8.356552,	8.356552,	-16.03884,	-16.03884
3.165,	8.340508,	8.340508,	-16.04865,	-16.04865
3.166,	8.324455,	8.324455,	-16.05846,	-16.05846
3.167,	8.308391,	8.308391,	-16.06827,	-16.06827
3.168,	8.292318,	8.292318,	-16.07808,	-16.07808
3.169,	8.276235,	8.276235,	-16.08789,	-16.08789
3.17,	8.260142,	8.260142,	-16.0977,	-16.0977
3.171,	8.24404,	8.24404,	-16.10751,	-16.10751
3.172,	8.227927,	8.227927,	-16.11732,	-16.11732
3.173,	8.211805,	8.211805,	-16.12713,	-16.12713
3.174,	8.195673,	8.195673,	-16.13694,	-16.13694
3.175,	8.179531,	8.179531,	-16.14675,	-16.14675
3.176,	8.16338,	8.16338,	-16.15656,	-16.15656
3.177,	8.147218,	8.147218,	-16.16637,	-16.16637
3.178,	8.131047,	8.131047,	-16.17618,	-16.17618
3.179,	8.114866,	8.114866,	-16.18599,	-16.18599
3.18,	8.098675,	8.098675,	-16.1958,	-16.1958
3.181,	8.082474,	8.082474,	-16.20561,	-16.20561
3.182,	8.066264,	8.066264,	-16.21542,	-16.21542
3.183,	8.050043,	8.050043,	-16.22523,	-16.22523
3.184,	8.033813,	8.033813,	-16.23504,	-16.23504
3.185,	8.017573,	8.017573,	-16.24485,	-16.24485
3.186,	8.001324,	8.001324,	-16.25466,	-16.25466
3.187,	7.985064,	7.985064,	-16.26447,	-16.26447
3.188,	7.968795,	7.968795,	-16.27428,	-16.27428
3.189,	7.952515,	7.952515,	-16.28409,	-16.28409
3.19,	7.936226,	7.936226,	-16.2939,	-16.2939
3.191,	7.919928,	7.919928,	-16.30371,	-16.30371
3.192,	7.903619,	7.903619,	-16.31352,	-16.31352
3.193,	7.887301,	7.887301,	-16.32333,	-16.32333
3.194,	7.870972,	7.870972,	-16.33314,	-16.33314
3.195,	7.854634,	7.854634,	-16.34295,	-16.34295
3.196,	7.838286,	7.838286,	-16.35276,	-16.35276
3.197,	7.821929,	7.821929,	-16.36257,	-16.36257
3.198,	7.805561,	7.805561,	-16.37238,	-16.37238
3.199,	7.789184,	7.789184,	-16.38219,	-16.38219
3.2,	7.772797,	7.772797,	-16.392,	-16.392
3.201,	7.7564,	7.7564,	-16.40181,	-16.40181
3.202,	7.739993,	7.739993,	-16.41162,	-16.41162
3.203,	7.723577,	7.723577,	-16.42143,	-16.42143
3.204,	7.70715,	7.70715,	-16.43124,	-16.43124
3.205,	7.690714,	7.690714,	-16.44105,	-16.44105
3.206,	7.674268,	7.674268,	-16.45086,	-16.45086
3.207,	7.657813,	7.657813,	-16.46067,	-16.46067
3.208,	7.641347,	7.641347,	-16.47048,	-16.47048
3.209,	7.624872,	7.624872,	-16.48029,	-16.48029
3.21,	7.608386,	7.608386,	-16.4901,	-16.4901
3.211,	7.591891,	7.591891,	-16.49991,	-16.49991
3.212,	7.575387,	7.575387,	-16.50972,	-16.50972
3.213,	7.558872,	7.558872,	-16.51953,	-16.51953
3.214,	7.542348,	7.542348,	-16.52934,	-16.52934
3.215,	7.525813,	7.525813,	-16.53915,	-16.53915
3.216,	7.509269,	7.509269,	-16.54896,	-16.54896
3.217,	7.492715,	7.492715,	-16.55877,	-16.55877
3.218,	7.476152,	7.476152,	-16.56858,	-16.56858
3.219,	7.459578,	7.459578,	-16.57839,	-16.57839
3.22,	7.442995,	7.442995,	-16.5882,	-16.5882
