"time","x0","der(x0)","x1","der(x1)","mu"
0,2,0,0,-2,1
0.1,1.99169,-0.174908,-0.174908,-1.47277,1
0.2,1.96807,-0.304035,-0.304035,-1.09449,1
0.3,1.93308,-0.401103,-0.401103,-0.83534,1
0.4,1.88943,-0.476629,-0.476629,-0.664519,1
0.5,1.8389,-0.538253,-0.538253,-0.557017,1
0.6,1.78264,-0.591419,-0.591419,-0.494649,1
0.7,1.72128,-0.640026,-0.640026,-0.465033,1
0.8,1.65516,-0.686945,-0.686945,-0.460177,1
0.9,1.58435,-0.734408,-0.734408,-0.475279,1
1,1.50869,-0.784277,-0.784277,-0.507842,1
1.1,1.42787,-0.838248,-0.838248,-0.557084,1
1.2,1.34141,-0.898006,-0.898006,-0.623557,1
1.3,1.24865,-0.965338,-0.965338,-0.708899,1
1.4,1.14875,-1.04224,-1.04224,-0.815629,1
1.5,1.04064,-1.13097,-1.13097,-0.94685,1
1.6,0.92303,-1.2341,-1.2341,-1.1057,1
1.7,0.794358,-1.35446,-1.35446,-1.29415,1
1.8,0.652769,-1.49489,-1.49489,-1.51068,1
1.9,0.496145,-1.65771,-1.65771,-1.74579,1
2,0.322197,-1.84352,-1.84352,-1.97434,1
2.1,0.128727,-2.04912,-2.04912,-2.1439,1
2.2,-0.0858518,-2.2641,-2.2641,-2.16156,1
2.3,-0.3216,-2.46643,-2.46643,-1.88973,1
2.4,-0.575714,-2.61908,-2.61908,-1.17528,1
2.5,-0.841064,-2.67258,-2.67258,0.0590364,1
2.6,-1.10549,-2.57943,-2.57943,1.67837,1
2.7,-1.35308,-2.31969,-2.31969,3.28032,1
2.8,-1.56801,-1.92107,-1.92107,4.37022,1
2.9,-1.73927,-1.45213,-1.45213,4.6799,1
3,-1.86334,-0.989529,-0.989529,4.30949,1
3.1,-1.94354,-0.586777,-0.586777,3.57323,1
3.2,-1.98705,-0.264824,-0.264824,2.76785,1
3.3,-2.00195,-0.020658,-0.020658,2.06409,1
3.4,-1.99544,0.159837,0.159837,1.51884,1
3.5,-1.97314,0.292866,0.292866,1.1258,1
3.6,-1.93915,0.392526,0.392526,0.855662,1
3.7,-1.89627,0.469694,0.469694,0.67702,1
3.8,-1.84639,0.532291,0.532291,0.564018,1
3.9,-1.79069,0.585957,0.585957,0.497732,1
4,-1.72987,0.634723,0.634723,0.46521,1
4.1,-1.66429,0.681543,0.681543,0.458055,1
4.2,-1.59402,0.728692,0.728692,0.471173,1
4.3,-1.51896,0.778055,0.778055,0.501857,1
4.4,-1.4388,0.831331,0.831331,0.549161,1
4.5,-1.35307,0.890192,0.890192,0.613504,1
4.6,-1.26114,0.956402,0.956402,0.696415,1
4.7,-1.16218,1.03192,1.03192,0.800321,1
4.8,-1.05518,1.11896,1.11896,0.928284,1
4.9,-0.938861,1.22007,1.22007,1.08349,1
5,-0.811696,1.33804,1.33804,1.26817,1
5.1,-0.671869,1.47574,1.47574,1.48145,1
