"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","Integrator_IC","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","IntegratorLimited_IC","IntegratorLimited_UpperSat","IntegratorLimited_LowerSat","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","IntegratorSecondOrder_ICX","IntegratorSecondOrder_ICDXDT","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","StateSpace_A","StateSpace_C","StateSpace_D","StateSpace_X0","TransferFcn_A","TransferFcn_C","SineWave8_Amp","SineWave8_Bias","SineWave8_Freq","SineWave8_Phase","ZeroPole_A[0]","ZeroPole_A[1]","ZeroPole_C[0]","ZeroPole_C[1]","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase"
3.6,1.917303543,0.8355111665,3.84815854,1.917303543,14.90754811,0.261862587,-1.393578369,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
3.7,1.873051499,0.7470070779,4.039888895,1.873051499,16.31098722,0.1914242839,-1.490202931,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
3.8,1.820067885,0.6410398497,4.227194045,1.820067885,17.86006419,0.1192982415,-1.581471402,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
3.9,1.758882095,0.5186682715,4.409200833,1.758882095,19.57016235,0.04618262821,-1.666516839,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4,1.69010548,0.3811150397,4.585089043,1.69010548,21.45814224,-0.02721225053,-1.744529981,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.1,1.61442523,0.2297545406,4.75409959,1.61442523,23.54248185,-0.100171275,-1.81476778,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.2,1.532597519,0.0660991184,4.915542113,1.532597519,25.84343138,-0.1719818586,-1.876561236,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.3,1.445439942,0,5.068801865,1.445439942,28.38318435,-0.24194125,-1.929322442,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.4,1.353823348,0,5.21334586,1.353823348,31.18606665,-0.3093637187,-1.972550785,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.5,1.258663141,0,5.348728194,1.258663141,34.27874527,-0.3735875542,-2.005838249,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.6,1.160910129,0,5.474594508,1.160910129,37.69045891,-0.4339818105,-2.02887375,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.7,1.061541028,0,5.590685521,1.061541028,41.45327255,-0.4899527298,-2.041446488,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.8,0.9615487027,0,5.696839624,0.9615487027,45.60235845,-0.5409497826,-2.043448268,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
4.9,0.8619322418,0,5.792994494,0.8619322418,50.17630629,-0.5864712652,-2.034874772,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
5,0.7636869806,0,5.879187719,0.7636869806,55.21746526,-0.6260694,-2.015825781,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
