"time","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uDC","Losses","uAC[3]"
0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002,4.800000E+002,0.000000E+000
2.000000E-005,2.975088E-002,-5.941679E-001,5.644171E-001,2.980487E+002,-5.653818E+002,5.623465E+002,7.945061E+002,2.673331E+002
4.000000E-005,2.975088E-002,-5.941679E-001,5.644171E-001,2.980487E+002,-5.653818E+002,5.623465E+002,7.945061E+002,2.673331E+002
6.000000E-005,2.975088E-002,-5.941679E-001,5.644171E-001,2.980487E+002,-5.653818E+002,5.623465E+002,7.945061E+002,2.673331E+002
8.000000E-005,2.975088E-002,-5.941679E-001,5.644171E-001,2.980487E+002,-5.653818E+002,5.623465E+002,7.945061E+002,2.673331E+002
1.000000E-004,2.975088E-002,-5.941679E-001,5.644171E-001,2.980487E+002,-5.653818E+002,5.623465E+002,7.945061E+002,2.673331E+002
1.200000E-004,6.146653E-002,-1.049483E+000,9.880163E-001,3.122379E+002,-5.630092E+002,5.590083E+002,7.894273E+002,2.507713E+002
1.400000E-004,6.146653E-002,-1.049483E+000,9.880163E-001,3.122379E+002,-5.630092E+002,5.590083E+002,7.894273E+002,2.507713E+002
1.600000E-004,6.146653E-002,-1.049483E+000,9.880163E-001,3.122379E+002,-5.630092E+002,5.590083E+002,7.894273E+002,2.507713E+002
1.800000E-004,6.146653E-002,-1.049483E+000,9.880163E-001,3.122379E+002,-5.630092E+002,5.590083E+002,7.894273E+002,2.507713E+002
2.000000E-004,6.146653E-002,-1.049483E+000,9.880163E-001,3.122379E+002,-5.630092E+002,5.590083E+002,7.894273E+002,2.507713E+002
2.200000E-004,9.215169E-002,-3.209388E+000,3.117236E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910883E+002,2.337661E+002
2.400000E-004,9.215169E-002,-3.209388E+000,3.117236E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910883E+002,2.337661E+002
2.600000E-004,9.215169E-002,-3.209388E+000,3.117236E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910883E+002,2.337661E+002
2.800000E-004,9.215169E-002,-3.209388E+000,3.117236E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910883E+002,2.337661E+002
3.000000E-004,9.215169E-002,-3.209388E+000,3.117236E+000,3.259178E+002,-5.596839E+002,5.556787E+002,7.910883E+002,2.337661E+002
3.200000E-004,1.227459E-001,-6.738675E+000,6.615929E+000,3.395632E+002,-5.563803E+002,5.523681E+002,7.993167E+002,2.168171E+002
3.400000E-004,1.227459E-001,-6.738675E+000,6.615929E+000,3.395632E+002,-5.563803E+002,5.523681E+002,7.993167E+002,2.168171E+002
3.600000E-004,1.227459E-001,-6.738675E+000,6.615929E+000,3.395632E+002,-5.563803E+002,5.523681E+002,7.993167E+002,2.168171E+002
3.800000E-004,1.227459E-001,-6.738675E+000,6.615929E+000,3.395632E+002,-5.563803E+002,5.523681E+002,7.993167E+002,2.168171E+002
4.000000E-004,1.227459E-001,-6.738675E+000,6.615929E+000,3.395632E+002,-5.563803E+002,5.523681E+002,7.993167E+002,2.168171E+002
4.200000E-004,1.532190E-001,-1.115312E+001,1.099990E+001,3.531622E+002,-5.531053E+002,5.490843E+002,8.122189E+002,1.999431E+002
4.400000E-004,1.532190E-001,-1.115312E+001,1.099990E+001,3.531622E+002,-5.531053E+002,5.490843E+002,8.122189E+002,1.999431E+002
4.600000E-004,1.532190E-001,-1.115312E+001,1.099990E+001,3.531622E+002,-5.531053E+002,5.490843E+002,8.122189E+002,1.999431E+002
4.800000E-004,1.532190E-001,-1.115312E+001,1.099990E+001,3.531622E+002,-5.531053E+002,5.490843E+002,8.122189E+002,1.999431E+002
5.000000E-004,1.532190E-001,-1.115312E+001,1.099990E+001,3.531622E+002,-5.531053E+002,5.490843E+002,8.122189E+002,1.999431E+002
5.200000E-004,1.835408E-001,-1.596690E+001,1.578336E+001,3.667015E+002,-5.498620E+002,5.458314E+002,8.278605E+002,1.831605E+002
5.400000E-004,1.835408E-001,-1.596690E+001,1.578336E+001,3.667015E+002,-5.498620E+002,5.458314E+002,8.278605E+002,1.831605E+002
5.600000E-004,1.835408E-001,-1.596690E+001,1.578336E+001,3.667015E+002,-5.498620E+002,5.458314E+002,8.278605E+002,1.831605E+002
5.800000E-004,1.835408E-001,-1.596690E+001,1.578336E+001,3.667015E+002,-5.498620E+002,5.458314E+002,8.278605E+002,1.831605E+002
6.000000E-004,1.835408E-001,-1.596690E+001,1.578336E+001,3.667015E+002,-5.498620E+002,5.458314E+002,8.278605E+002,1.831605E+002
6.200000E-004,2.136816E-001,-2.069633E+001,2.048265E+001,3.801658E+002,-5.466499E+002,5.426098E+002,8.442689E+002,1.664840E+002
6.400000E-004,2.136816E-001,-2.069633E+001,2.048265E+001,3.801658E+002,-5.466499E+002,5.426098E+002,8.442689E+002,1.664840E+002
6.600000E-004,2.136816E-001,-2.069633E+001,2.048265E+001,3.801658E+002,-5.466499E+002,5.426098E+002,8.442689E+002,1.664840E+002
6.800000E-004,2.136816E-001,-2.069633E+001,2.048265E+001,3.801658E+002,-5.466499E+002,5.426098E+002,8.442689E+002,1.664840E+002
7.000000E-004,2.136816E-001,-2.069633E+001,2.048265E+001,3.801658E+002,-5.466499E+002,5.426098E+002,8.442689E+002,1.664840E+002
7.200000E-004,2.436115E-001,-2.486251E+001,2.461889E+001,3.935385E+002,-5.434654E+002,5.394170E+002,8.594439E+002,1.499268E+002
7.400000E-004,2.436115E-001,-2.486251E+001,2.461889E+001,3.935385E+002,-5.434654E+002,5.394170E+002,8.594439E+002,1.499268E+002
7.600000E-004,2.436115E-001,-2.486251E+001,2.461889E+001,3.935385E+002,-5.434654E+002,5.394170E+002,8.594439E+002,1.499268E+002
7.800000E-004,2.436115E-001,-2.486251E+001,2.461889E+001,3.935385E+002,-5.434654E+002,5.394170E+002,8.594439E+002,1.499268E+002
8.000000E-004,2.436115E-001,-2.486251E+001,2.461889E+001,3.935385E+002,-5.434654E+002,5.394170E+002,8.594439E+002,1.499268E+002
8.200000E-004,2.733009E-001,-2.798887E+001,2.771556E+001,4.068025E+002,-5.403039E+002,5.362493E+002,8.713596E+002,1.335014E+002
8.400000E-004,2.733009E-001,-2.798887E+001,2.771556E+001,4.068025E+002,-5.403039E+002,5.362493E+002,8.713596E+002,1.335014E+002
8.600000E-004,2.733009E-001,-2.798887E+001,2.771556E+001,4.068025E+002,-5.403039E+002,5.362493E+002,8.713596E+002,1.335014E+002
8.800000E-004,2.733009E-001,-2.798887E+001,2.771556E+001,4.068025E+002,-5.403039E+002,5.362493E+002,8.713596E+002,1.335014E+002
9.000000E-004,2.733009E-001,-2.798887E+001,2.771556E+001,4.068025E+002,-5.403039E+002,5.362493E+002,8.713596E+002,1.335014E+002
9.200000E-004,3.027206E-001,-2.961147E+001,2.930875E+001,4.199385E+002,-5.371561E+002,5.330983E+002,8.780122E+002,1.172176E+002
9.400000E-004,3.027206E-001,-2.961147E+001,2.930875E+001,4.199385E+002,-5.371561E+002,5.330983E+002,8.780122E+002,1.172176E+002
9.600000E-004,3.027206E-001,-2.961147E+001,2.930875E+001,4.199385E+002,-5.371561E+002,5.330983E+002,8.780122E+002,1.172176E+002
9.800000E-004,3.027206E-001,-2.961147E+001,2.930875E+001,4.199385E+002,-5.371561E+002,5.330983E+002,8.780122E+002,1.172176E+002
1.000000E-003,3.027206E-001,-2.961147E+001,2.930875E+001,4.199385E+002,-5.371561E+002,5.330983E+002,8.780122E+002,1.172176E+002
1.020000E-003,3.318416E-001,-2.928008E+001,2.894824E+001,4.329255E+002,-5.340091E+002,5.299520E+002,8.774531E+002,1.010836E+002
1.040000E-003,3.318416E-001,-2.928008E+001,2.894824E+001,4.329255E+002,-5.340091E+002,5.299520E+002,8.774531E+002,1.010836E+002
1.060000E-003,3.318416E-001,-2.928008E+001,2.894824E+001,4.329255E+002,-5.340091E+002,5.299520E+002,8.774531E+002,1.010836E+002
1.080000E-003,3.318416E-001,-2.928008E+001,2.894824E+001,4.329255E+002,-5.340091E+002,5.299520E+002,8.774531E+002,1.010836E+002
1.100000E-003,3.318416E-001,-2.928008E+001,2.894824E+001,4.329255E+002,-5.340091E+002,5.299520E+002,8.774531E+002,1.010836E+002
1.120000E-003,3.606351E-001,-2.656037E+001,2.619973E+001,4.457414E+002,-5.308474E+002,5.267957E+002,8.678316E+002,8.510599E+001
1.140000E-003,3.606351E-001,-2.656037E+001,2.619973E+001,4.457414E+002,-5.308474E+002,5.267957E+002,8.678316E+002,8.510599E+001
1.160000E-003,3.606351E-001,-2.656037E+001,2.619973E+001,4.457414E+002,-5.308474E+002,5.267957E+002,8.678316E+002,8.510599E+001
1.180000E-003,3.606351E-001,-2.656037E+001,2.619973E+001,4.457414E+002,-5.308474E+002,5.267957E+002,8.678316E+002,8.510599E+001
1.200000E-003,3.606351E-001,-2.656037E+001,2.619973E+001,4.457414E+002,-5.308474E+002,5.267957E+002,8.678316E+002,8.510599E+001
1.220000E-003,3.890726E-001,-2.103678E+001,2.064771E+001,4.583629E+002,-5.276528E+002,5.236122E+002,8.474445E+002,6.928987E+001
1.240000E-003,3.890726E-001,-2.103678E+001,2.064771E+001,4.583629E+002,-5.276528E+002,5.236122E+002,8.474445E+002,6.928987E+001
1.260000E-003,3.890726E-001,-2.103678E+001,2.064771E+001,4.583629E+002,-5.276528E+002,5.236122E+002,8.474445E+002,6.928987E+001
1.280000E-003,3.890726E-001,-2.103678E+001,2.064771E+001,4.583629E+002,-5.276528E+002,5.236122E+002,8.474445E+002,6.928987E+001
1.300000E-003,3.890726E-001,-2.103678E+001,2.064771E+001,4.583629E+002,-5.276528E+002,5.236122E+002,8.474445E+002,6.928987E+001
1.320000E-003,4.171263E-001,-1.231535E+001,1.189822E+001,4.707656E+002,-5.244045E+002,5.203813E+002,8.147902E+002,5.363890E+001
1.340000E-003,4.171263E-001,-1.231535E+001,1.189822E+001,4.707656E+002,-5.244045E+002,5.203813E+002,8.147902E+002,5.363890E+001
1.360000E-003,4.171263E-001,-1.231535E+001,1.189822E+001,4.707656E+002,-5.244045E+002,5.203813E+002,8.147902E+002,5.363890E+001
1.380000E-003,4.171263E-001,-1.231535E+001,1.189822E+001,4.707656E+002,-5.244045E+002,5.203813E+002,8.147902E+002,5.363890E+001
1.400000E-003,4.171263E-001,-1.231535E+001,1.189822E+001,4.707656E+002,-5.244045E+002,5.203813E+002,8.147902E+002,5.363890E+001
1.420000E-003,4.277234E-001,-9.147007E-001,4.869773E-001,4.744026E+002,-5.040296E+002,5.170811E+002,7.476570E+002,2.962698E+001
1.440000E-003,4.277234E-001,-9.147007E-001,4.869773E-001,4.744026E+002,-5.040296E+002,5.170811E+002,7.476570E+002,2.962698E+001
