"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.000000,1.000000,0.000000,-0.866023,0.866023
0.000100,1.000000,0.031411,-0.881301,0.849890
0.000200,1.000000,0.062791,-0.895710,0.832919
0.000300,1.000000,0.094108,-0.909234,0.815125
0.000400,1.000000,0.125333,-0.921861,0.796527
0.000500,1.000000,0.156434,-0.933579,0.777143
0.000600,1.000000,0.187381,-0.944375,0.756992
0.000700,1.000000,0.218143,-0.954239,0.736094
0.000800,1.000000,0.248690,-0.963161,0.714469
0.000900,1.000000,0.278991,-0.971133,0.692140
0.001000,1.000000,0.309017,-0.978147,0.669127
0.001100,1.000000,0.338738,-0.984195,0.645454
0.001200,1.000000,0.368125,-0.989272,0.621144
0.001300,1.000000,0.397148,-0.993372,0.596221
0.001400,1.000000,0.425779,-0.996492,0.570710
0.001500,1.000000,0.453990,-0.998629,0.544635
0.001600,1.000000,0.481754,-0.999781,0.518023
0.001700,1.000000,0.509041,-0.999945,0.490899
0.001800,1.000000,0.535827,-0.999123,0.463292
0.001900,1.000000,0.562083,-0.997315,0.435227
0.002000,1.000000,0.587785,-0.994522,0.406732
0.002100,1.000000,0.612907,-0.990749,0.377836
0.002200,1.000000,0.637424,-0.985997,0.348567
0.002300,1.000000,0.661312,-0.980272,0.318955
0.002400,1.000000,0.684547,-0.973580,0.289027
0.002500,1.000000,0.707107,-0.965927,0.258814
0.002600,1.000000,0.728969,-0.957321,0.228346
0.002700,1.000000,0.750111,-0.947770,0.197653
0.002800,1.000000,0.770513,-0.937284,0.166764
0.002900,1.000000,0.790155,-0.925872,0.135711
0.003000,1.000000,0.809017,-0.913547,0.104524
0.003100,1.000000,0.827081,-0.900321,0.073233
0.003200,1.000000,0.844328,-0.886206,0.041871
0.003300,1.000000,0.860742,-0.871216,0.010467
0.003400,1.000000,0.876307,-0.855367,-0.020947
0.003500,1.000000,0.891007,-0.838673,-0.052341
0.003600,1.000000,0.904827,-0.821152,-0.083683
