"time","Out1[1]","Out1[2]","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8[1]","Out8[2]","Out9","Out10","Out11","EventIndicator[0]","EventIndicator[1]","Step_Time","Step_Y0","Step_YFinal","SineWave_Amp","SineWave_Bias","SineWave_Freq","SineWave_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","Step2_Time","Step2_Y0","Step2_YFinal","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Hsin","SineWave3_HCos","SineWave3_PSin","SineWave3_PCos","SineWave4_Amp","SineWave4_Bias","SineWave4_Freq","SineWave4_Phase","Step3_Time","Step3_Y0","Step3_YFinal","SineWave5_Amp","SineWave5_Bias","SineWave5_Freq","SineWave5_Hsin","SineWave5_HCos","SineWave5_PSin","SineWave5_PCos","SineWave7_Amp","SineWave7_Bias","SineWave7_Freq","SineWave7_Hsin","SineWave7_HCos","SineWave7_PSin","SineWave7_PCos","WeightedSampleTime_WtEt","Constant6_Value","Out2","Out3","Out4","Out5","Constant4_Value","Constant5_Value","indicators.z[0]","indicators.z[1]","indicators.z[2]","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","Out1[1]_ref","Out1[2]_ref","Out2_ref","Out3_ref","Out4_ref","Out5_ref","Out6[1]_ref","Out6[2]_ref","Out6[3]_ref","Out6[4]_ref","Out6[5]_ref","Out6[6]_ref","Out7_ref","Out8[1]_ref","Out8[2]_ref","Out9_ref","Out10_ref","Out11_ref","EventIndicator[0]_ref","EventIndicator[1]_ref","Step_Time_ref","Step_Y0_ref","Step_YFinal_ref","SineWave_Amp_ref","SineWave_Bias_ref","SineWave_Freq_ref","SineWave_Phase_ref","SineWave6_Amp_ref","SineWave6_Bias_ref","SineWave6_Freq_ref","SineWave6_Phase_ref","SineWave1_Amp_ref","SineWave1_Bias_ref","SineWave1_Freq_ref","SineWave1_Phase_ref","Step2_Time_ref","Step2_Y0_ref","Step2_YFinal_ref","SineWave3_Amp_ref","SineWave3_Bias_ref","SineWave3_Freq_ref","SineWave3_Hsin_ref","SineWave3_HCos_ref","SineWave3_PSin_ref","SineWave3_PCos_ref","SineWave4_Amp_ref","SineWave4_Bias_ref","SineWave4_Freq_ref","SineWave4_Phase_ref","Step3_Time_ref","Step3_Y0_ref","Step3_YFinal_ref","SineWave5_Amp_ref","SineWave5_Bias_ref","SineWave5_Freq_ref","SineWave5_Hsin_ref","SineWave5_HCos_ref","SineWave5_PSin_ref","SineWave5_PCos_ref","SineWave7_Amp_ref","SineWave7_Bias_ref","SineWave7_Freq_ref","SineWave7_Hsin_ref","SineWave7_HCos_ref","SineWave7_PSin_ref","SineWave7_PCos_ref","WeightedSampleTime_WtEt_ref","Constant6_Value_ref","Constant4_Value_ref","Constant5_Value_ref","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         1,       0.1,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6,         0,         0,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         0,         0,        12,        12,        12,        12,        -1,        -1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,         0,         0,         0,         0,         0,         6,        -1,        -1,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.1,         0,0.099833417,         1,       0.1,         0,         0,         1,         0,         0,0.099833417,         0,         0,0.019966683,         6,      -0.9,      -0.9,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         1,         0,        12,        12,        12,        12,      -0.9,      -0.9,         1,        11,    5e-007,    0.0256,         0,         2,         0,         1,         0, 0.0998334,         1,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,         0, 0.0998334,         0,         0, 0.0199667,         6,      -0.9,      -0.9,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.2,         0,0.19866933,         1,       0.1,         0,         0,         1,         0,         0,0.19866933,         0,         0,0.039733866,         6,      -0.8,      -0.8,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         2,         0,        12,        12,        12,        12,      -0.8,      -0.8,         1,        22,    1e-005,    0.0256,         0,         2,         0,         2,         0,  0.198669,         2,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,         0,  0.198669,         0,         0, 0.0397339,         6,      -0.8,      -0.8,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.3,         0,0.29552021,         1,       0.1,         0,         0,         1,         0,0.29552021,0.29552021,         0,0.21822962,0.059104041,         6,      -0.7,      -0.7,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         3,         0,        12,        12,        12,        12,      -0.7,      -0.7,         1,        44,    1e-005,   0.02048,         0,         2,         0,         4,         0,   0.29552,         3,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,   0.29552,   0.29552,         0,   0.21823,  0.059104,         6,      -0.7,      -0.7,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.4,         0,0.38941834,         1,       0.1,         0,         0,         1,         0,0.29552021,0.38941834,         0,0.21822962,0.077883668,         6,      -0.6,      -0.6,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         4,         0,        12,        12,        12,        12,      -0.6,      -0.6,         1,        55,    1e-005,    0.0256,         0,         2,         0,         5,         0,  0.389418,         4,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,   0.29552,  0.389418,         0,   0.21823, 0.0778837,         6,      -0.6,      -0.6,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.5,         0,0.47942554,         1,       0.1,         0,         0,         1,         0,0.29552021,0.47942554,         0,0.42593947,0.095885108,         6,      -0.5,      -0.5,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         5,         0,        12,        12,        12,        12,      -0.5,      -0.5,         1,        77,    1e-005,   0.01536,         0,         2,         0,         7,         0,  0.479426,         5,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,   0.29552,  0.479426,         0,  0.425939, 0.0958851,         6,      -0.5,      -0.5,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.6,         0,0.56464247,         1,       0.1,         0,         0,         1,         0,0.56464247,0.56464247,         0,0.42593947,0.11292849,         6,      -0.4,      -0.4,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         6,         0,        12,        12,        12,        12,      -0.4,      -0.4,         1,        88,    1e-005,    0.0256,         0,         2,         0,         8,         0,  0.564642,         6,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,  0.564642,  0.564642,         0,  0.425939,  0.112928,         6,      -0.4,      -0.4,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.7,         0,0.64421769,         1,       0.1,         0,         0,         1,         0,0.56464247,0.64421769,         0,0.61311685,0.12884354,         6,      -0.3,      -0.3,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         7,         0,        12,        12,        12,        12,      -0.3,      -0.3,         1,       110,    1e-005,   0.01536,         0,         2,         0,        10,         0,  0.644218,         7,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,  0.564642,  0.644218,         0,  0.613117,  0.128844,         6,      -0.3,      -0.3,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.8,         0,0.71735609,         1,       0.1,         0,         0,         1,         0,0.56464247,0.71735609,         0,0.61311685,0.14347122,         6,      -0.2,      -0.2,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         8,         0,        12,        12,        12,        12,      -0.2,      -0.2,         1,       121,    1e-005,    0.0256,         0,         2,         0,        11,         0,  0.717356,         8,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,  0.564642,  0.717356,         0,  0.613117,  0.143471,         6,      -0.2,      -0.2,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.9,         0,0.78332691,         1,       0.1,         0,         0,         1,         0,0.78332691,0.78332691,         0,0.77073888,0.15666538,         6,      -0.1,      -0.1,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,0.21822962,0.97589745,-0.21822962,0.97589745,         1,         0,         1,0.099833417,0.99500417,-0.099833417,0.99500417,       0.2,         1,         9,         0,        12,        12,        12,        12,      -0.1,      -0.1,         1,       143,    1e-005,   0.02048,         0,         2,         0,        13,         0,  0.783327,         9,         0,        12,        12,         1,       0.1,         0,         0,         1,         0,  0.783327,  0.783327,         0,  0.770739,  0.156665,         6,      -0.1,      -0.1,         1,         0,         1,         1,         0,         1,         0,        12,         0,         1,         0,         1,         0,         1,         0,         1,         0,       2.3,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,         1,         0,         1,         0,         1,         0,         1,         1,         0,         1,   0.21823,  0.975897,  -0.21823,  0.975897,         1,         0,         1, 0.0998334,  0.995004,-0.0998334,  0.995004,       0.2,         1,        12,        12,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
