"time","counter","y_0","y_1","y_2"
0,0,0,0,0
0.00625,0.64017,0,0.64017,1.28034
0.0125,1.28398,0.00283961,1,2
0.01875,1.90898,0.00908919,1,2
0.025,2.80704,0.018066,1.01598,2
0.03125,3.3125,0.0231157,1.0198,2
0.0375,3.9375,0.0293578,1.0198,2
0.04375,4.375,0.0337228,1.02707,2.01282
0.05,5,0.0399573,1.03919,2.03419
0.05625,5.625,0.0461819,1.03919,2.03419
0.0625,6.375,0.053644,1.04631,2.03419
0.06875,7,0.0598561,1.05816,2.03419
0.075,7.625,0.0660533,1.05816,2.03419
0.08125,8.125,0.0710075,1.06048,2.03702
0.0875,9,0.0796591,1.07672,2.05678
0.09375,9.625,0.0858189,1.07672,2.05678
0.1,10,0.0895148,1.07672,2.05678
0.10625,10.6875,0.096266,1.08917,2.05678
0.1125,11.3125,0.102391,1.09484,2.05678
0.11875,11.9375,0.108504,1.09484,2.05678
0.125,12.6875,0.115809,1.10699,2.0644
0.13125,13.3125,0.121879,1.11252,2.06786
0.1375,13.9375,0.127935,1.11252,2.06786
0.14375,14.375,0.132154,1.11899,2.06786
0.15,15,0.138178,1.12976,2.06786
0.15625,15.625,0.144167,1.12976,2.06786
0.1625,16.375,0.151331,1.13605,2.06776
0.16875,17,0.157283,1.14655,2.06761
0.175,17.625,0.163196,1.14655,2.06761
0.18125,18.125,0.167918,1.14859,2.06761
0.1875,19,0.176137,1.16287,2.06761
0.19375,19.625,0.181964,1.16287,2.06761
0.2,20,0.18546,1.16287,2.06761
0.20625,20.6875,0.191819,1.17378,2.05985
0.2125,21.3125,0.197575,1.17874,2.05632
0.21875,21.9375,0.203307,1.17874,2.05632
0.225,22.6875,0.210129,1.18932,2.05632
0.23125,23.3125,0.215784,1.19413,2.05632
0.2375,23.9375,0.221411,1.19413,2.05632
0.24375,24.375,0.225317,1.19972,2.04809
0.25,25,0.23089,1.20904,2.03438
0.25625,25.625,0.236404,1.20904,2.03438
0.2625,26.375,0.242986,1.21445,2.03438
0.26875,27,0.24844,1.22347,2.03438
0.275,27.625,0.253833,1.22347,2.03438
0.28125,28.125,0.258134,1.22521,2.03036
0.2875,29,0.265593,1.23741,2.00225
0.29375,29.625,0.270855,1.23741,2.00225
0.3,30,0.274012,1.23741,2.00225
0.30625,30.6875,0.279725,1.24665,2.00225
0.3125,31.3125,0.284883,1.25086,2.00225
0.31875,31.9375,0.290005,1.25086,2.00225
0.325,32.6875,0.296073,1.25976,1.97355
0.33125,33.3125,0.301085,1.2638,1.96051
0.3375,33.9375,0.306061,1.2638,1.96051
0.34375,34.375,0.309498,1.26847,1.96051
0.35,35,0.314397,1.27624,1.96051
0.35625,35.625,0.319217,1.27624,1.96051
0.3625,36.375,0.324953,1.28072,1.94149
0.36875,37,0.329692,1.28817,1.90978
