"time","egsCarSpeed","egsGear","egsTargetGear","valves_mv1","valves_mv2","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv3"
0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
6.712000E-002,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E-001,1.000000E-001,0.000000E+000,0.000000E+000,0.000000E+000
1.342400E-001,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.400000E-001,2.400000E-001,0.000000E+000,0.000000E+000,0.000000E+000
2.013600E-001,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,4.000000E-002,4.000000E-002,0.000000E+000,0.000000E+000,0.000000E+000
2.684800E-001,0.000000E+000,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.800000E-001,1.800000E-001,0.000000E+000,0.000000E+000,0.000000E+000
3.356000E-001,-6.280000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,3.200000E-001,3.200000E-001,0.000000E+000,0.000000E+000,0.000000E+000
4.027200E-001,1.540000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,4.600000E-001,4.600000E-001,0.000000E+000,0.000000E+000,0.000000E+000
4.698400E-001,2.150000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,6.000000E-001,6.000000E-001,0.000000E+000,0.000000E+000,0.000000E+000
5.369600E-001,2.250000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,7.400000E-001,7.400000E-001,0.000000E+000,0.000000E+000,0.000000E+000
6.040800E-001,2.370000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,8.800000E-001,8.800000E-001,0.000000E+000,0.000000E+000,0.000000E+000
6.712000E-001,2.350000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
7.383200E-001,2.330000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
8.054400E-001,2.310000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
8.725600E-001,2.290000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
9.396800E-001,2.270000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
1.006800E+000,2.250000E-001,-2.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.700000E-001,0.000000E+000,0.000000E+000,1.000000E+000,1.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
